cod_ibge,nome,ovino_1989,ovino_1990,ovino_1991,ovino_1992,ovino_1993,ovino_1994,ovino_1995,ovino_1996,ovino_1997,ovino_1998,ovino_1999,ovino_2000,ovino_2001,ovino_2002,ovino_2003,ovino_2004,ovino_2005,ovino_2006,ovino_2007,ovino_2008,ovino_2009,ovino_2010,ovino_2011,ovino_2012,ovino_2013,ovino_2014,ovino_2015,ovino_2016,ovino_2017,ovino_2018
1702554,Augustinópolis,0,0,0,0,0,0,0,180,185,193,198,393,380,400,100,100,490,539,937,870,826,1059,1220,1250,1290,1209,1351,1472,1730,1727
1718303,Praia Norte,0,0,0,0,0,0,0,18,23,23,25,30,33,40,50,55,132,145,140,149,156,240,200,120,128,132,473,153,295,893
1702208,Araguatins,600,720,0,800,600,645,690,330,337,345,360,250,275,300,540,364,245,269,1000,1352,1460,1904,2000,2050,2234,2733,3351,3702,3797,3859
1703800,Buriti do Tocantins,0,0,0,0,0,0,0,405,411,420,400,320,300,320,327,942,270,297,628,398,398,363,380,420,430,435,475,483,507,521
1703891,Carrasco Bonito,0,0,0,0,0,0,0,45,50,54,55,60,68,70,160,131,0,0,83,65,67,85,80,280,170,163,152,165,294,297
1718808,Sampaio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,10,118,129,194,65,67,98,100,115,90,242,163,361,263,344
1707405,Esperantina,0,0,0,0,0,0,0,12,15,19,25,30,35,50,130,210,314,345,222,469,492,722,400,330,310,350,313,349,461,720
1720309,São Sebastião do Tocantins,0,0,0,0,0,0,0,38,43,50,55,50,11,20,33,34,23,25,42,70,82,196,300,100,108,193,208,162,185,273
1712157,Lavandeira,0,0,0,0,0,0,0,0,120,125,130,140,130,120,125,115,110,138,146,140,130,150,108,99,121,125,140,133,120,115
1702703,Aurora do Tocantins,700,730,800,880,900,950,1000,380,280,290,305,330,320,300,310,365,380,410,402,400,380,824,940,871,855,808,780,628,750,896
1717800,Ponte Alta do Bom Jesus,330,350,350,450,200,210,220,360,370,390,410,430,420,410,380,350,340,360,378,360,340,100,213,189,75,211,239,257,305,257
1715259,Novo Jardim,0,0,0,0,200,210,220,45,47,50,55,60,55,50,55,35,40,48,56,50,45,100,470,526,740,617,624,926,884,941
1707009,Dianópolis,580,700,800,1100,1200,1230,1250,530,535,550,600,660,630,600,500,730,750,763,775,700,620,1343,1195,1065,1230,1307,1406,800,945,933
1718659,Rio da Conceição,0,0,0,0,50,50,50,16,18,20,22,25,24,25,20,15,10,26,34,30,25,6,7,8,7,8,8,8,9,8
1712702,Mateiros,0,0,0,0,170,190,210,4,5,5,5,5,10,15,10,10,10,10,10,10,10,15,0,0,29,29,33,99,100,126
1709302,Guaraí,560,580,590,600,550,600,600,780,785,800,800,650,700,600,700,1450,1200,1260,250,1650,1800,1927,1930,1830,1810,1860,1920,1600,1655,1600
