cod_ibge,nome,ovogal1989,ovogal1990,ovogal1991,ovogal1992,ovogal1993,ovogal1994,ovogal1995,ovogal1996,ovogal1997,ovogal1998,ovogal1999,ovogal2000,ovogal2001,ovogal2002,ovogal2003,ovogal2004,ovogal2005,ovogal2006,ovogal2007,ovogal2008,ovogal2009,ovogal2010,ovogal2011,ovogal2012,ovogal2013,ovogal2014,ovogal2015,ovogal2016,ovogal2017,ovogal2018
1707652,Figueirópolis,83,77,82,85,75,78,80,42,44,45,46,47,48,50,53,54,53,52,50,48,47,49,51,51,48,50,52,44,39,37
1720937,Taipas do Tocantins,0,0,0,0,18,16,18,6,6,7,9,9,10,10,10,13,13,13,13,13,13,4,5,5,6,8,7,7,8,9
1720853,Sucupira,0,0,0,0,52,54,57,16,16,17,18,18,19,21,20,21,21,21,23,25,26,25,24,18,16,16,15,15,17,15
1705607,Conceição do Tocantins,13,13,13,13,22,25,22,37,37,37,39,40,40,41,42,40,40,40,40,39,40,25,22,22,22,23,24,24,21,24
1703867,Cariri do Tocantins,0,0,0,0,90,93,106,49,50,47,50,51,53,54,59,63,63,64,53,48,48,45,46,51,52,57,53,45,43,46
1708205,Formoso do Araguaia,138,135,142,149,173,179,185,198,200,205,214,215,209,200,216,221,214,216,230,225,223,245,282,150,83,83,147,128,138,133
1716604,Peixe,180,176,186,175,115,121,125,53,63,65,76,77,79,81,77,78,75,76,83,83,84,94,100,110,112,117,142,162,176,175
1709500,Gurupi,92,92,96,110,94,105,110,73,84,85,87,89,90,92,97,96,90,92,100,100,99,84,95,96,91,96,95,85,95,125
1718006,Porto Alegre do Tocantins,10,10,10,10,26,29,32,16,16,18,19,21,22,23,23,24,25,25,25,25,25,16,14,8,9,9,20,18,19,21
1720499,São Valério da Natividade,32,34,39,40,48,50,53,36,37,38,41,42,42,45,45,46,50,51,49,45,46,48,51,44,46,51,48,40,42,46
1705102,Chapada da Natividade,0,0,0,0,0,0,0,0,30,32,38,41,42,44,44,47,48,48,48,47,47,27,30,31,32,33,35,36,31,33
1714203,Natividade,40,40,40,40,44,47,52,94,45,48,52,55,59,60,67,68,69,69,69,69,69,35,36,39,39,44,44,44,39,44
1718907,Santa Rosa do Tocantins,28,28,30,33,37,42,48,15,21,22,23,27,30,34,35,34,35,36,30,31,28,29,27,23,25,27,29,28,24,28
1700350,Aliança do Tocantins,45,46,47,50,63,67,69,40,26,27,28,29,29,29,33,30,29,32,33,33,34,34,40,42,43,43,46,42,47,46
1706258,Crixás do Tocantins,0,0,0,0,0,0,0,0,13,14,15,15,16,14,15,15,14,15,16,15,16,17,17,20,21,24,25,25,28,29
1707306,Dueré,68,68,66,76,73,76,80,58,75,69,75,75,77,72,79,80,78,78,75,70,70,70,70,67,61,65,72,73,78,76
1700400,Almas,20,20,20,20,36,41,46,42,43,44,45,49,49,49,50,51,52,52,52,52,52,35,33,34,39,41,42,40,39,44
1717008,Pindorama do Tocantins,40,41,45,47,54,61,70,43,36,37,39,44,50,55,59,56,57,58,50,52,50,51,45,33,29,35,42,33,16,25
1709807,Ipueiras,0,0,0,0,0,0,0,0,4,4,6,7,8,9,10,9,8,9,8,7,8,8,8,10,9,9,11,10,13,17
1720655,Silvanópolis,40,44,48,52,69,80,92,23,25,26,27,30,33,36,39,37,37,38,33,32,29,30,29,20,20,23,25,25,25,30
1703701,Brejinho de Nazaré,60,80,86,120,148,170,196,69,12,14,14,17,18,20,21,29,34,40,36,37,41,43,42,33,29,36,38,34,30,31
1718899,Santa Rita do Tocantins,0,0,0,0,0,0,0,0,44,46,48,52,57,63,68,64,63,62,55,52,49,50,50,66,67,80,83,35,39,44
1707553,Fátima,29,30,28,29,34,39,45,29,17,17,18,20,23,23,26,23,24,25,23,22,21,20,21,22,17,22,26,25,22,13
1715507,Oliveira de Fátima,0,0,0,0,0,0,0,0,6,7,7,8,9,10,11,11,11,12,10,10,10,10,10,9,10,13,14,13,5,6
1711902,Lagoa da Confusão,0,0,0,0,27,31,36,12,17,19,21,24,27,29,32,31,30,30,35,35,35,35,42,40,41,51,55,36,40,36
1706100,Cristalândia,107,110,119,126,108,124,142,28,19,21,22,24,26,21,27,31,35,40,36,36,34,31,29,30,31,32,33,19,22,35
1715002,Nova Rosalândia,8,12,14,15,20,23,26,20,11,12,13,15,17,19,21,20,19,20,18,16,15,15,16,20,21,32,38,101,41,39
1717909,Ponte Alta do Tocantins,65,74,80,86,98,111,125,57,59,63,65,75,81,85,89,86,83,84,71,68,64,65,63,51,56,61,70,60,70,76
1718451,Pugmil,0,0,0,0,0,0,0,0,10,10,11,11,12,14,15,15,14,14,13,13,12,12,11,12,12,10,12,99,13,12
1713601,Monte do Carmo,35,45,54,67,82,95,109,43,42,45,47,50,56,61,66,64,62,64,60,59,56,57,56,58,72,79,84,71,133,150
1719004,Santa Tereza do Tocantins,15,22,24,25,22,25,28,26,12,13,13,16,17,19,21,20,20,20,17,18,18,18,17,14,14,15,19,18,25,29
1711951,Lagoa do Tocantins,0,0,0,0,19,22,26,7,10,11,12,14,16,18,19,19,19,20,18,17,17,17,17,15,14,15,20,19,19,24
1716109,Paraíso do Tocantins,104,105,118,125,182,209,241,326,290,310,299,308,292,275,275,249,235,204,226,217,256,244,229,230,242,322,385,545,60,43
1718204,Porto Nacional,105,156,172,188,232,266,306,99,96,101,107,113,130,143,150,154,157,160,136,141,124,130,148,149,158,202,244,234,150,163
1704600,Chapada de Areia,0,0,0,0,0,0,0,0,20,21,22,22,22,20,18,17,16,13,8,8,8,7,7,14,16,22,23,64,26,31
1721000,Palmas,20,26,29,33,49,57,58,91,100,100,103,103,95,97,102,113,121,132,164,178,173,174,180,165,109,138,156,389,400,321
1715101,Novo Acordo,40,60,65,73,57,64,73,4,8,8,9,9,10,11,12,13,13,13,15,18,17,17,17,12,8,10,13,13,23,25
1720150,São Félix do Tocantins,0,0,0,0,16,18,20,7,5,6,6,7,8,9,9,9,9,9,9,9,8,9,8,8,8,9,11,9,6,8
1713700,Monte Santo do Tocantins,0,0,0,0,0,0,0,0,25,27,28,29,28,26,23,22,21,20,18,16,15,16,15,20,21,25,25,76,33,28
1701101,Aparecida do Rio Negro,18,29,30,32,37,42,46,24,23,24,24,25,30,33,37,40,44,48,43,44,41,40,41,39,34,33,35,32,31,32
1703107,Barrolândia,37,41,45,48,59,67,73,42,25,24,25,26,25,24,23,22,22,20,14,14,12,13,13,20,20,17,19,58,36,17
1712009,Lajeado,0,0,0,0,22,19,16,9,10,8,9,8,8,8,7,7,6,6,5,4,3,8,8,10,10,10,12,13,13,13
1712504,Marianópolis do Tocantins,22,24,25,27,24,27,30,18,19,20,21,21,20,18,17,16,16,13,13,12,11,12,11,20,23,36,40,48,51,35
1713205,Miracema do Tocantins,94,99,106,113,120,138,159,36,76,77,81,84,79,76,68,62,58,46,45,46,44,197,196,45,148,134,244,311,114,115
1707108,Divinópolis do Tocantins,28,30,31,33,43,47,52,40,33,35,36,32,32,29,26,28,28,26,21,20,19,20,19,30,31,58,65,40,49,53
1721109,Tocantínia,33,45,46,48,33,29,30,12,16,17,17,18,17,16,11,10,10,9,12,11,10,16,16,15,17,17,16,15,16,16
1718758,Rio Sono,75,87,94,99,114,126,127,22,53,52,57,52,51,49,42,38,36,33,29,27,24,37,37,37,40,41,47,49,47,51
1717503,Pium,112,140,106,115,199,229,263,497,94,98,104,112,133,137,144,130,123,125,106,95,86,79,76,80,83,36,42,39,48,29
1713304,Miranorte,78,84,89,94,108,117,127,35,38,40,42,43,43,42,39,35,34,31,18,16,15,17,17,21,20,21,26,26,26,27
1700251,Abreulândia,0,0,0,0,18,22,24,21,22,24,24,26,25,24,24,23,22,21,8,8,7,8,8,13,14,25,27,29,34,29
1703909,Caseara,26,28,30,32,38,30,32,32,23,25,26,27,25,24,22,20,20,18,15,14,13,12,11,20,21,22,25,29,36,31
1718709,Rio dos Bois,0,0,0,0,13,12,13,9,10,10,10,11,11,11,10,10,9,8,9,9,8,7,7,7,7,7,10,10,11,11
1716505,Pedro Afonso,92,95,101,89,35,39,41,19,18,19,20,19,19,19,16,15,14,12,12,11,11,18,17,20,19,19,22,21,19,22
1708254,Tabocão,0,0,0,0,15,16,16,21,13,12,12,12,12,12,10,9,9,7,6,5,5,17,16,11,11,11,11,11,11,10
1712405,Lizarda,33,39,39,41,49,55,58,23,28,29,30,29,29,27,24,23,22,20,14,14,13,6,6,9,9,11,10,13,13,15
1707207,Dois Irmãos do Tocantins,131,127,134,140,142,147,137,71,95,100,103,105,102,95,86,76,74,63,53,50,45,49,45,50,52,70,82,59,68,76
1703305,Bom Jesus do Tocantins,0,0,0,0,24,27,28,10,11,11,12,12,12,11,11,10,10,9,8,8,7,14,14,19,19,19,19,18,16,18
1704105,Centenário,0,0,0,0,11,12,12,18,18,18,18,16,18,15,7,9,8,8,3,9,10,7,7,5,6,13,12,13,3,13
1721257,Tupirama,0,0,0,0,0,0,0,0,15,14,14,13,13,11,9,8,8,8,6,6,6,5,5,6,5,5,6,7,7,6
1708304,Goianorte,52,64,66,58,67,73,76,59,59,60,60,58,60,50,55,45,36,34,6,38,40,43,40,40,41,45,46,79,219,216
1718881,Santa Maria do Tocantins,0,0,0,0,33,36,48,16,16,16,16,14,14,15,7,12,14,14,4,12,10,6,6,11,14,15,17,20,20,22
1716703,Colméia,103,104,110,96,113,124,132,78,79,79,79,8,77,63,72,72,51,53,7,60,57,66,61,58,48,57,59,90,57,53
1701903,Araguacema,38,41,42,45,35,38,42,12,14,15,16,16,16,15,15,15,14,13,21,21,20,18,17,30,32,31,36,29,32,38
1718501,Recursolândia,0,0,0,0,12,12,13,16,16,16,16,15,16,13,14,14,18,19,4,10,9,8,8,12,15,15,18,16,18,19
1718402,Presidente Kennedy,71,48,50,51,22,22,22,32,32,32,32,30,16,27,15,12,11,11,4,7,8,9,10,10,11,11,11,12,12,12
1706001,Couto de Magalhães,77,79,79,67,57,63,64,33,33,34,34,32,30,25,15,13,11,12,3,26,26,31,37,40,41,29,29,53,59,65
1711100,Itaporã do Tocantins,65,66,68,70,80,88,90,36,36,36,37,35,35,30,25,28,20,21,8,31,26,24,20,16,17,16,16,22,15,21
1710508,Itacajá,120,100,80,82,46,48,50,20,20,21,21,18,18,15,13,13,14,15,3,24,20,24,28,32,32,33,34,42,39,48
1703602,Brasilândia do Tocantins,0,0,0,0,24,24,24,13,13,13,13,12,14,15,24,20,18,19,5,6,6,7,8,7,7,7,7,8,12,13
1721307,Tupiratins,0,0,0,0,13,13,13,2,2,2,2,2,2,2,1,1,3,3,2,115,10,6,11,14,14,13,16,17,58,54
1716653,Pequizeiro,73,76,77,67,84,85,89,38,38,38,38,35,35,33,33,58,47,49,9,60,49,39,31,25,26,48,49,63,75,174
1711803,Juarina,0,0,0,0,21,23,24,33,33,34,34,32,32,26,6,6,7,7,5,20,17,18,16,18,19,23,24,27,75,73
1710904,Itapiratins,0,0,0,0,27,28,29,26,29,29,29,28,28,23,24,23,24,26,5,23,27,15,25,26,28,30,30,31,40,42
1703842,Campos Lindos,0,0,0,0,37,47,55,62,62,64,65,67,70,84,85,85,91,92,30,32,33,33,33,79,89,90,85,82,50,50
1705508,Colinas do Tocantins,48,50,32,33,54,55,56,56,56,56,55,53,58,47,38,31,30,31,3,16,19,22,23,25,26,25,24,28,92,19
1703206,Bernardo Sayão,71,48,48,50,57,6,6,23,23,23,23,23,20,18,15,13,11,12,3,12,13,13,31,26,25,25,29,36,90,83
1703057,Bandeirantes do Tocantins,0,0,0,0,0,0,0,0,30,30,31,30,35,29,23,19,19,20,4,12,14,17,19,20,21,14,14,17,31,31
1702307,Arapoema,100,100,80,82,70,80,80,44,14,15,15,14,17,16,19,20,21,22,4,11,12,14,13,14,15,15,15,17,22,27
1709005,Goiatins,116,175,180,206,194,270,336,78,85,85,91,93,94,96,107,107,110,115,67,68,69,70,70,102,109,111,106,107,106,65
1715705,Palmeirante,0,0,0,0,93,140,174,40,40,40,40,38,35,30,24,23,22,23,3,48,33,35,35,38,38,65,50,56,44,52
1714880,Nova Olinda,30,34,36,38,44,44,45,57,57,57,57,55,48,47,54,57,51,48,5,66,67,66,58,63,66,70,72,70,66,74
1703073,Barra do Ouro,0,0,0,0,0,0,0,0,15,16,21,22,22,24,28,32,34,35,22,35,38,39,39,17,13,15,21,24,34,33
1716307,Pau d'Arco,0,0,0,0,20,22,22,22,22,22,22,20,19,15,16,17,19,19,2,14,11,10,15,16,16,19,19,22,28,30
1707702,Filadélfia,81,100,105,112,108,145,186,41,42,43,45,47,60,75,78,80,84,85,71,85,88,96,97,89,89,92,105,92,78,79
1702109,Araguaína,450,600,650,750,590,733,910,136,170,262,278,1060,1100,1120,1168,1200,1256,1400,4259,1938,2000,2014,1877,2061,216,230,215,202,132,114
1703883,Carmolândia,0,0,0,0,14,19,20,3,3,3,4,5,5,6,8,8,9,9,9,11,11,12,12,3,6,6,10,8,10,12
1703008,Babaçulândia,81,93,128,150,295,329,329,140,165,170,180,183,184,200,204,205,210,215,58,88,100,101,102,114,3553,3726,3895,3905,3510,3779
1718865,Santa Fé do Araguaia,0,0,0,0,51,64,72,4,5,5,6,6,7,8,9,9,9,9,19,24,24,26,23,62,73,75,83,84,26,19
1713957,Muricilândia,0,0,0,0,53,67,76,17,17,18,19,20,20,22,23,23,24,24,63,60,69,71,71,18,17,18,15,16,14,27
1701309,Aragominas,0,0,0,0,48,62,63,6,7,24,27,28,28,33,33,35,35,36,37,46,50,51,52,59,66,65,55,56,55,55
1722081,Wanderlândia,74,63,65,77,860,932,980,1061,1083,1090,70,122,124,135,144,146,149,150,110,133,126,127,127,28,42,70,109,95,53,53
1706506,Darcinópolis,0,0,0,0,20,23,25,22,22,23,25,3,24,26,28,37,37,38,62,110,34,36,37,42,0,0,150,14768,19245,26800
1702158,Araguanã,0,0,0,0,18,25,26,2,3,3,4,4,4,5,5,5,5,6,6,16,16,16,15,16,19,19,18,18,13,13
1713809,Palmeiras do Tocantins,0,0,0,0,32,35,37,18,18,17,17,16,13,15,16,13,31,32,33,35,36,1048,1089,1162,0,0,27,27,20,18
1717206,Piraquê,0,0,0,0,47,58,67,6,8,8,9,9,9,9,10,10,10,10,24,55,54,57,58,39,43,41,44,41,43,64
1700301,Aguiarnópolis,0,0,0,0,0,0,0,0,4,4,4,5,5,5,6,6,7,7,8,8,9,100,103,115,0,0,4,4,4,4
1720002,Santa Terezinha do Tocantins,0,0,0,0,0,0,0,0,10,10,9,8,7,7,9,7,17,18,18,19,20,11,12,13,0,0,5,6,5,6
1718550,Riachinho,0,0,0,0,35,38,40,39,45,46,50,48,50,60,70,75,76,77,25,31,31,33,33,36,0,0,12,14,19,34
1722107,Xambioá,45,52,70,84,119,150,156,19,21,21,46,46,47,49,52,54,55,55,25,26,31,31,31,32,35,37,41,37,52,51
1701051,Angico,0,0,0,0,35,37,39,10,10,11,12,12,12,13,15,16,17,18,18,18,18,19,21,24,0,0,38,42,32,28
1714302,Nazaré,31,33,40,50,22,23,25,20,10,10,9,9,9,12,14,15,31,32,33,35,36,21,21,23,0,0,10,15,10,10
1712454,Luzinópolis,0,0,0,0,0,0,0,0,4,5,5,8,7,8,9,6,15,16,16,17,18,20,20,21,0,0,26,34,27,27
1721208,Tocantinópolis,75,81,90,110,42,45,46,20,12,12,11,12,10,12,13,13,30,31,32,34,35,40,41,44,5,5,18,20,10,11
1703826,Cachoeirinha,0,0,0,0,20,22,22,35,35,26,24,15,13,6,7,4,4,5,5,4,5,5,21,22,0,0,7,8,7,11
1701002,Ananás,36,35,42,48,21,23,25,23,25,30,39,28,29,34,35,38,40,42,43,48,47,49,50,54,0,0,8,10,10,24
1712801,Maurilândia do Tocantins,0,0,0,0,10,11,12,22,22,22,22,14,11,12,11,9,19,20,20,21,23,26,24,27,0,0,7,9,10,21
1720101,São Bento do Tocantins,0,0,0,0,50,53,55,19,19,19,18,16,14,14,15,8,17,18,18,19,20,11,11,12,0,0,17,20,23,29
1710706,Itaguatins,24,42,38,42,26,27,28,58,58,58,52,40,37,40,41,13,32,34,35,36,38,38,37,46,46,42,48,48,47,52
1702901,Axixá do Tocantins,22,33,39,48,50,52,54,26,26,26,26,17,16,16,18,13,14,19,18,19,20,37,30,30,31,26,38,37,23,24
1720804,Sítio Novo do Tocantins,22,39,40,50,52,56,57,5,5,5,5,6,5,10,12,11,24,25,26,27,28,6,8,12,13,17,23,25,43,48
1720200,São Miguel do Tocantins,0,0,0,0,24,26,27,4,4,4,5,11,10,13,13,13,32,33,35,36,38,14,11,18,19,18,15,15,14,8
1702554,Augustinópolis,36,38,40,50,55,60,64,6,6,6,6,8,7,9,13,5,10,12,13,14,15,155,68,65,65,64,51,46,24,27
1718303,Praia Norte,20,18,22,25,26,28,29,4,4,4,4,4,4,5,8,8,14,15,15,16,17,13,10,8,8,5,13,18,21,33
1702208,Araguatins,96,98,100,115,100,110,123,195,195,195,173,123,83,88,92,92,15,17,19,20,21,126,123,134,147,152,189,163,151,171
1703800,Buriti do Tocantins,18,21,30,40,32,34,35,6,6,6,6,5,5,5,8,2,4,4,4,4,4,4,11,10,11,11,12,13,9,10
1703891,Carrasco Bonito,0,0,0,0,8,9,9,3,3,3,3,4,3,5,6,1,2,2,2,2,2,3,3,4,4,7,8,5,1,13
1718808,Sampaio,24,27,30,40,30,32,33,1,2,2,2,3,3,3,4,4,7,7,7,8,8,3,3,2,2,6,5,11,11,9
1707405,Esperantina,0,0,0,0,5,6,6,3,3,3,3,4,4,5,8,7,17,18,18,28,29,29,8,16,18,23,23,23,26,24
1720309,São Sebastião do Tocantins,12,9,10,13,11,12,13,7,7,7,7,6,6,6,6,5,9,9,9,10,10,8,3,4,4,8,11,11,11,12
1712157,Lavandeira,0,0,0,0,0,0,0,0,16,17,18,20,21,23,24,24,24,24,24,24,24,11,14,15,14,13,14,14,15,18
1702703,Aurora do Tocantins,27,27,28,28,34,38,42,78,27,28,30,32,35,38,39,40,40,40,40,39,39,34,41,40,42,43,43,41,35,37
1717800,Ponte Alta do Bom Jesus,25,25,25,26,35,36,40,33,33,36,39,41,42,47,47,48,49,49,49,49,50,23,27,27,29,31,33,33,39,46
1715259,Novo Jardim,0,0,0,0,27,27,27,3,3,3,4,4,4,5,6,6,6,7,7,7,7,10,9,9,10,11,12,10,12,15
1707009,Dianópolis,32,37,37,38,53,57,63,36,37,38,38,42,45,54,55,58,59,59,59,58,58,51,58,58,61,72,77,68,64,60
1718659,Rio da Conceição,0,0,0,0,9,10,11,4,4,4,5,6,6,6,8,8,9,9,9,8,8,1,2,1,1,2,2,2,2,3
1712702,Mateiros,0,0,0,0,13,15,17,3,8,9,9,12,12,14,15,15,15,17,15,14,13,4,4,9,8,12,13,12,14,18
1709302,Guaraí,113,115,116,99,100,107,109,80,80,80,80,65,68,57,46,37,37,39,6,30,36,35,35,40,41,41,44,39,40,31
