cod_ibge,nome,leite_1989,leite_1990,leite_1991,leite_1992,leite_1993,leite_1994,leite_1995,leite_1996,leite_1997,leite_1998,leite_1999,leite_2000,leite_2001,leite_2002,leite_2003,leite_2004,leite_2005,leite_2006,leite_2007,leite_2008,leite_2009,leite_2010,leite_2011,leite_2012,leite_2013,leite_2014,leite_2015,leite_2016,leite_2017,leite_2018
1718907,Santa Rosa do Tocantins,600,890,970,1087,659,692,726,561,540,600,660,620,651,630,353,423,414,378,374,341,366,404,1017,1015,1117,1012,962,746,780,766
1700350,Aliança do Tocantins,800,780,880,959,806,891,907,933,366,389,421,428,434,437,680,684,640,632,691,763,667,755,1786,1906,1753,1649,2229,2647,2609,2501
1706258,Crixás do Tocantins,0,0,0,0,0,0,0,0,292,301,337,340,347,334,298,356,308,366,417,410,472,616,1312,1380,1166,1115,1024,1033,1021,960
1707306,Dueré,1109,1134,1159,1100,866,970,983,1431,821,834,921,937,951,954,1016,1213,872,936,863,900,1215,811,1901,2424,2392,2081,2494,2967,2879,2705
1700400,Almas,120,110,110,110,282,281,278,668,670,540,600,656,689,718,800,820,860,861,851,812,812,832,1368,1430,1458,1673,1643,1677,2310,2745
1717008,Pindorama do Tocantins,390,420,468,570,342,359,377,744,852,867,1014,1107,1098,1221,849,825,824,896,876,774,867,966,1609,1836,2025,2050,1843,1718,1854,1675
1709807,Ipueiras,0,0,0,0,0,0,0,0,690,702,690,750,858,768,816,780,774,870,780,618,663,555,764,826,761,803,673,547,651,585
1720655,Silvanópolis,350,625,675,735,540,572,606,352,636,669,680,846,891,861,777,744,783,903,831,768,792,849,1722,1808,1642,1576,1498,1126,1322,1170
1703701,Brejinho de Nazaré,1100,1800,1920,2520,1238,1312,1377,844,424,477,816,843,938,1065,1145,1638,1710,1629,2220,2076,2158,2348,3395,3100,2795,2708,2337,1793,1792,1687
1718899,Santa Rita do Tocantins,0,0,0,0,0,0,0,0,560,600,640,448,500,780,788,912,832,914,908,1208,1260,1598,3561,3488,3695,3567,3412,2544,3053,2755
1707553,Fátima,270,360,396,429,337,353,368,994,528,540,624,642,780,741,843,998,1008,942,938,728,784,879,924,966,936,869,891,792,799,731
1715507,Oliveira de Fátima,0,0,0,0,0,0,0,0,336,348,390,393,504,534,558,567,501,447,438,357,412,450,491,471,440,435,453,409,426,358
1711902,Lagoa da Confusão,0,0,0,0,825,866,909,857,874,950,1026,1429,1284,1581,2139,1832,1804,1604,1420,1752,1456,1448,2702,2430,2466,2102,2207,3740,3656,1350
1706100,Cristalândia,1928,2400,2460,2610,1575,1670,1753,919,630,645,665,917,1079,893,974,1187,1050,1141,1022,1036,1103,1120,2606,2268,2313,2422,2492,2421,2450,1267
1715002,Nova Rosalândia,300,390,420,591,271,284,298,445,408,456,474,570,588,567,792,771,531,606,603,660,663,615,1142,1000,1032,956,1042,842,828,732
1717909,Ponte Alta do Tocantins,960,1060,1120,1221,474,498,523,1381,1393,1470,1505,1628,1610,1761,1631,1822,1786,1739,1629,1393,1395,1411,2333,2311,2412,2465,2318,1873,2105,2035
1718451,Pugmil,0,0,0,0,0,0,0,0,534,552,570,486,594,690,684,720,708,633,594,654,642,600,880,800,810,712,805,865,770,756
1713601,Monte do Carmo,1900,2160,2310,2475,1238,1312,1391,1387,1440,1530,1620,1598,1859,2039,2120,2328,2285,2292,2266,2189,2194,2220,4265,4168,3895,3655,3521,2174,2247,2218
1719004,Santa Tereza do Tocantins,150,280,296,320,118,123,130,375,376,384,392,406,490,508,552,536,642,580,616,448,456,528,837,840,870,528,571,583,616,530
1711951,Lagoa do Tocantins,0,0,0,0,114,120,126,368,413,443,466,484,549,618,555,534,597,630,603,504,750,783,534,553,576,384,352,335,378,316
1716109,Paraíso do Tocantins,1107,1485,1728,3090,1427,1513,1589,3761,2165,2209,2252,2423,2610,2640,2748,2724,2517,2490,2460,2408,2447,3172,4709,4460,4549,4669,5070,4818,4503,2391
1718204,Porto Nacional,2310,2850,3090,4140,1898,2010,2111,4206,3660,3744,4452,5130,5664,6180,6492,6816,6378,6180,5907,6240,6126,6528,6908,6411,5977,5852,4870,4085,3812,3446
1704600,Chapada de Areia,0,0,0,0,0,0,0,0,290,290,229,308,330,339,356,314,312,284,240,230,227,239,1045,1080,1123,1069,1223,1215,1140,1112
1721000,Palmas,620,750,810,885,518,533,900,819,1440,1483,1606,1296,591,656,718,748,986,1011,1454,1155,1150,1500,1827,1800,410,1222,2060,2650,1759,1695
1715101,Novo Acordo,300,350,380,418,178,187,196,270,303,310,316,270,283,308,258,244,267,309,313,321,333,299,540,606,658,568,459,420,446,403
1720150,São Félix do Tocantins,0,0,0,0,36,37,39,54,78,80,82,103,106,88,92,80,83,86,82,74,70,68,219,220,213,180,164,144,160,109
1713700,Monte Santo do Tocantins,0,0,0,0,0,0,0,0,488,490,500,483,500,504,590,576,562,564,533,585,548,620,2171,1800,1962,2216,1999,2258,2399,1950
1701101,Aparecida do Rio Negro,300,299,309,318,130,137,146,234,352,377,392,400,323,342,345,365,420,439,327,307,295,298,1159,1255,851,808,753,811,731,691
1703107,Barrolândia,1377,1539,1541,1573,530,530,539,1237,1139,1152,1103,1183,1115,1125,1015,1050,1133,1152,1078,1034,1006,1088,2444,2500,2575,2673,3204,2666,2558,2619
1712009,Lajeado,0,0,0,0,38,40,40,99,97,102,104,107,110,110,130,132,134,129,112,104,112,106,292,157,142,439,470,456,430,384
1712504,Marianópolis do Tocantins,493,538,542,533,180,186,189,484,582,579,587,595,747,754,842,818,809,673,638,599,604,608,2735,2200,2266,2338,2384,3740,3792,994
1713205,Miracema do Tocantins,1622,1726,1753,1778,739,782,821,1989,1971,2010,2028,1614,1680,1568,1730,1755,1771,1693,1640,1525,1650,1668,5237,4320,4533,4612,4805,10379,9353,8370
1707108,Divinópolis do Tocantins,657,711,715,736,270,254,264,1144,926,866,892,978,998,952,1013,987,977,850,779,725,776,812,4315,3780,3856,3487,3731,4431,4158,1440
1721109,Tocantínia,300,350,282,240,90,93,94,235,234,237,240,201,210,225,243,246,249,195,130,109,113,160,540,524,526,518,546,1304,1256,1236
1718758,Rio Sono,540,556,572,590,296,312,321,669,675,688,694,674,570,589,985,988,1018,808,637,571,570,618,1802,1674,1717,1612,1721,3612,3997,3724
1717503,Pium,1958,2100,2250,2430,2228,2361,2479,1513,1740,1860,1920,2112,2322,2352,2610,3168,3072,2889,2664,2508,2568,2335,4258,3510,3571,3249,3639,4214,4100,1183
1713304,Miranorte,1058,1089,1121,1156,422,439,446,631,748,756,1173,792,820,894,946,964,928,840,814,762,776,820,2789,2754,2949,2905,3063,6640,5847,5033
1700251,Abreulândia,0,0,0,0,450,130,137,226,233,223,224,219,221,272,274,287,292,272,262,256,272,302,2000,2100,2226,2234,5087,4607,4883,261
1703909,Caseara,733,774,779,823,209,198,189,359,485,497,662,543,442,454,489,544,596,560,483,426,434,453,1231,1242,1267,1113,1215,1351,1325,994
1718709,Rio dos Bois,0,0,0,0,52,54,56,143,177,180,183,171,180,193,190,176,165,129,120,116,108,158,513,421,423,427,410,899,885,996
1716505,Pedro Afonso,864,891,907,571,198,231,248,447,448,448,454,354,325,317,324,336,340,315,284,272,290,296,760,697,794,740,845,1911,2074,1587
1708254,Tabocão,0,0,0,0,198,215,231,711,624,530,540,500,500,648,628,520,492,466,378,257,256,650,1815,944,871,3321,3810,3740,4131,3982
1712405,Lizarda,500,531,522,537,150,159,164,341,349,350,349,334,340,350,348,361,375,311,260,250,255,253,617,413,431,1215,1292,1432,1468,1465
1707207,Dois Irmãos do Tocantins,2214,2320,2275,2320,594,601,612,1174,1195,1218,1244,1215,1271,1266,1295,1212,1256,1155,977,886,986,1034,4142,4000,4083,4181,4431,5386,4709,1409
1703305,Bom Jesus do Tocantins,0,0,0,0,182,198,211,558,575,575,575,417,420,402,406,384,387,360,339,296,308,336,907,490,482,1515,1825,1788,1923,1698
1704105,Centenário,0,0,0,0,112,125,150,334,334,334,334,334,350,600,250,375,440,460,410,410,450,340,580,281,256,1065,1201,1276,1360,1287
1721257,Tupirama,0,0,0,0,0,0,0,0,192,160,165,160,160,158,181,168,163,153,136,137,125,107,173,178,158,146,161,490,752,932
1708304,Goianorte,805,2484,2538,1610,462,512,528,2499,2500,2501,2501,2550,3100,3500,3600,3800,3950,3634,3700,3950,4000,4500,5078,5300,5280,6199,6106,7637,9017,8909
1718881,Santa Maria do Tocantins,0,0,0,0,231,264,281,397,401,401,401,420,470,480,500,524,529,581,595,650,640,540,1265,875,970,940,936,2196,2173,2112
1716703,Colméia,702,2160,2862,1881,825,875,957,3076,3076,3077,3080,3100,2750,4500,4450,5100,5128,4829,4650,5000,5050,5200,4047,4400,4500,5789,6042,11817,14618,14877
1701903,Araguacema,958,1015,1055,1098,196,205,216,295,310,302,334,354,400,360,546,538,558,510,486,448,457,478,1609,1620,1704,1423,2504,2998,2889,1242
1718501,Recursolândia,0,0,0,0,110,120,130,1044,1050,1051,1100,1200,1250,1400,1350,1390,1581,1674,1650,1750,1800,1139,1091,1021,1082,1153,1324,2963,2994,2786
1718402,Presidente Kennedy,994,1180,1200,1250,363,396,415,1311,1321,1321,1321,1200,1250,1350,2100,2150,2497,2090,2000,2300,2500,2400,1421,1600,1664,2877,2618,2952,2885,3319
1706001,Couto de Magalhães,594,621,648,413,363,396,422,1400,1400,1401,1420,1400,1500,1510,1600,1700,2125,1950,2000,2200,2500,2400,2121,2160,2700,3568,3949,4201,4406,4147
1711100,Itaporã do Tocantins,1200,2160,2200,2300,1089,1100,1200,1607,1610,1611,1611,1650,2200,2000,1950,2206,2314,2184,2000,2200,2300,2200,2538,2770,2900,6515,6786,5016,5723,5247
1710508,Itacajá,720,840,860,1000,627,660,695,889,890,890,891,900,920,930,1000,1100,1083,1207,1100,1400,1380,1600,2675,3080,3360,4561,4775,6029,6856,6019
1703602,Brasilândia do Tocantins,0,0,0,0,338,360,380,492,492,493,493,495,770,771,800,950,984,970,1000,935,970,1000,1159,1180,1250,2575,2738,2703,3378,4035
1721307,Tupiratins,0,0,0,0,300,300,300,179,180,180,180,160,200,220,231,280,301,355,320,300,298,390,631,698,730,1092,1152,2712,2383,2427
1716653,Pequizeiro,702,2160,2187,1386,759,842,858,1708,1710,1711,1712,1600,1900,1700,1850,2078,2169,2011,1965,2000,2300,2200,2986,3000,3120,3800,4177,6582,10694,10137
1711803,Juarina,0,0,0,0,198,221,231,1880,1880,1890,1891,1900,2000,3000,1800,2040,2046,1656,1380,1750,1800,1800,1082,1145,1150,1660,1820,3011,3415,3255
1710904,Itapiratins,0,0,0,0,288,350,400,400,400,401,401,450,500,550,560,570,659,621,592,700,685,800,1564,1780,1900,3518,3634,5579,5860,5727
1703842,Campos Lindos,0,0,0,0,112,141,180,262,325,350,450,378,400,600,617,700,800,850,981,990,1200,1230,1056,1127,1143,1323,364,464,361,348
1705508,Colinas do Tocantins,5400,5580,6300,6450,1496,1500,1550,3188,3190,3191,3200,4500,5500,5550,5750,6800,6834,6018,5100,5700,6200,7000,3228,3452,3600,9240,8658,9939,9220,9209
1703206,Bernardo Sayão,540,900,1080,1300,644,693,710,4227,4228,4228,4230,4500,7500,6500,5950,6900,7850,6843,5650,5900,5700,5850,4536,4600,3600,6854,7130,9002,8436,8178
1703057,Bandeirantes do Tocantins,0,0,0,0,0,0,0,0,3191,3200,3201,3500,3850,3900,3901,4430,4521,5059,4000,3850,4000,4100,4456,4835,5000,10685,9934,11132,11664,9575
1702307,Arapoema,4300,4860,5400,6300,3036,3300,3383,6250,3056,3056,3060,3500,4500,4000,3875,4600,5311,4558,4000,4200,4167,5100,4214,4800,5000,10295,10203,11559,10600,12143
1709005,Goiatins,1069,1440,1508,1550,820,980,1275,800,890,1050,1108,1338,1400,1700,1529,1650,1655,1660,1700,3800,3900,2668,1939,1942,2078,2274,962,973,813,905
1715705,Palmeirante,0,0,0,0,587,750,950,975,975,975,976,950,1300,1350,1500,1650,1665,1680,1350,1650,1800,1900,2430,2460,2560,3457,3499,4369,4550,4579
1714880,Nova Olinda,600,650,720,900,472,490,520,3573,3574,3574,3575,3800,4500,7000,7250,7232,7251,6600,5800,5750,6600,6400,2338,2210,2240,5239,5446,7346,7614,7433
1703073,Barra do Ouro,0,0,0,0,0,0,0,0,500,580,620,693,700,780,783,820,850,855,990,995,1000,1041,1043,1037,1062,1292,591,502,332,422
1716307,Pau d'Arco,0,0,0,0,1700,1000,1050,2840,2840,2840,2850,2500,2700,2650,2850,2835,2843,2890,2891,2850,3200,3800,2163,2200,2210,5782,5211,7277,8118,7671
1707702,Filadélfia,1742,1800,1830,1914,972,1280,1680,1900,1910,2100,2250,2207,2400,2800,4376,4400,4420,4500,4000,5000,5500,5520,3797,4110,4173,4320,1819,1963,2077,3211
1702109,Araguaína,13500,15000,16000,17160,5530,8235,8816,5530,6300,6320,7900,6800,6920,7208,8420,8500,9800,10000,12200,15820,16840,17613,4876,4967,4995,9914,5020,5645,6862,7815
1703883,Carmolândia,0,0,0,0,2841,2960,3850,400,500,550,620,620,650,800,1162,1230,1250,1260,1570,1677,1711,2875,693,671,625,1080,330,508,313,276
1703008,Babaçulândia,756,476,580,615,634,720,900,1060,1700,1780,1880,1816,1850,2200,3259,3330,3380,3400,3200,3350,3380,3195,2202,2116,2192,2736,774,721,944,1455
1718865,Santa Fé do Araguaia,0,0,0,0,3285,3640,4193,1100,1200,1300,3400,4320,4600,5100,5833,6100,6200,6300,7050,6000,6120,6806,2887,2635,2470,7157,3288,4048,3512,3352
1713957,Muricilândia,0,0,0,0,3066,3320,4400,1540,1800,1850,1900,2230,2320,2340,2912,2941,2951,3000,3100,3360,3580,4103,1733,1822,1839,1760,1680,1943,2182,2160
1701309,Aragominas,0,0,0,0,2628,2745,2860,1728,2000,1800,1861,1840,1900,2100,3071,3100,3130,4000,3900,3950,4010,4756,1807,1670,1828,2154,3286,3533,3965,4429
1722081,Wanderlândia,983,381,400,625,590,675,930,1400,1500,1600,1700,2400,2520,2600,2501,2510,2515,2520,1900,2000,2090,2070,1064,998,1114,1761,813,888,914,975
1706506,Darcinópolis,0,0,0,0,310,340,360,300,320,360,476,550,620,1000,1052,1200,1250,1280,1050,1224,1120,1188,632,664,663,245,286,1025,955,931
1702158,Araguanã,0,0,0,0,2190,2475,2700,608,700,750,1731,1200,1250,1400,1164,1593,1598,1600,2300,2500,2530,2690,1069,1051,1116,1901,1367,1540,1413,1521
1713809,Palmeiras do Tocantins,0,0,0,0,330,355,368,411,411,406,394,391,414,908,1160,1468,1520,1573,1628,1709,1795,7613,1030,1149,1255,870,940,1080,974,981
1717206,Piraquê,0,0,0,0,1581,1600,1855,450,600,650,928,1200,1250,1400,1432,1520,1580,1585,1500,2900,3420,3817,1868,1984,1913,2095,567,877,1212,1807
1700301,Aguiarnópolis,0,0,0,0,0,0,0,0,437,436,418,390,350,725,766,774,801,829,858,862,905,1647,396,420,435,456,500,500,612,489
1720002,Santa Terezinha do Tocantins,0,0,0,0,0,0,0,0,316,312,305,357,360,756,960,1068,1100,1485,1537,1614,1694,2102,550,603,524,576,640,1651,1311,1351
1718550,Riachinho,0,0,0,0,900,946,983,450,560,600,860,880,900,1050,1290,1310,1300,1320,1130,1200,1220,1365,720,781,811,250,350,1167,1021,980
1722107,Xambioá,3042,1938,2400,3075,2080,2208,2550,1074,1150,1683,2000,2000,2100,2300,2659,2790,2800,2850,3161,3220,3310,4325,1539,1685,1734,2385,1651,1686,1645,1476
1701051,Angico,0,0,0,0,150,157,162,430,450,460,825,540,560,650,728,750,755,800,655,722,740,814,605,648,527,434,427,402,473,434
1714302,Nazaré,460,300,230,250,130,136,141,966,650,632,660,634,538,1100,1340,1424,1474,1526,1579,1658,1741,2324,843,815,897,150,152,395,338,368
1712454,Luzinópolis,0,0,0,0,0,0,0,0,298,361,356,333,326,462,660,1068,1100,1138,1178,237,249,256,335,369,387,598,605,605,1160,1167
1721208,Tocantinópolis,935,1000,1100,1200,380,395,398,1541,805,790,744,724,718,1224,1440,1428,1471,1523,1576,1655,1737,1935,1000,1069,965,298,313,403,450,481
1703826,Cachoeirinha,0,0,0,0,250,270,280,209,209,138,139,137,127,380,442,650,667,690,714,679,713,738,194,202,321,59,60,69,298,310
1701002,Ananás,1000,1100,1200,1280,600,631,663,1107,1550,1710,2900,2600,2700,2830,2517,2590,2780,2800,2300,2660,2918,2963,2513,2762,2563,3025,3222,4524,5326,5155
1712801,Maurilândia do Tocantins,0,0,0,0,140,155,160,98,99,100,96,102,103,430,580,712,737,763,789,829,840,866,580,642,659,852,813,1323,2610,2719
1720101,São Bento do Tocantins,0,0,0,0,650,683,685,191,192,190,186,194,183,680,870,1068,1100,1138,1178,1237,1299,2701,855,833,891,1074,1168,2821,2035,2022
1710706,Itaguatins,480,420,420,450,250,265,274,529,529,528,514,415,409,1080,1140,1851,1907,1974,2043,2145,2252,4609,1725,1650,1756,1752,1387,1387,2860,2888
1702901,Axixá do Tocantins,560,500,540,570,600,621,642,1126,1126,1126,1137,1023,976,1561,1612,1668,1718,1779,1841,1933,2030,3253,1077,1075,1076,1055,1744,1824,2271,2315
1720804,Sítio Novo do Tocantins,390,420,320,350,370,395,410,1591,1591,1575,1477,1243,1104,1704,1800,1780,1833,1897,1964,2062,2165,4784,1100,1227,1227,1139,1740,1728,3575,3819
1720200,São Miguel do Tocantins,0,0,0,0,238,260,270,1113,1113,1053,788,704,637,950,1100,1032,1063,1100,1139,1196,1256,1853,651,629,634,596,998,936,869,920
1702554,Augustinópolis,408,450,500,550,570,620,660,2596,2596,2499,2340,2573,2380,2590,2880,2995,3085,3193,3305,3470,3644,537,1862,1743,1749,1638,2044,2111,5687,5638
1718303,Praia Norte,225,260,170,180,200,211,215,250,250,249,242,245,226,340,420,498,516,534,552,580,609,1564,634,605,678,604,956,962,3294,3467
1702208,Araguatins,1200,1280,1400,1500,1300,1370,1450,2343,2343,2343,2359,2277,2048,3328,3590,3734,3846,3981,4120,4326,4542,10796,4698,4388,4637,4523,3880,4009,13062,13330
1703800,Buriti do Tocantins,313,340,370,400,300,317,332,1785,1785,1558,1438,1120,1051,1496,1720,1780,1833,1897,1964,1866,1772,2166,872,854,855,780,1258,1452,4621,5956
1703891,Carrasco Bonito,0,0,0,0,120,126,133,891,891,883,827,782,710,940,1110,1008,1038,1173,1214,1275,1339,1454,606,610,613,621,860,912,2755,2817
1718808,Sampaio,256,290,220,240,180,190,196,341,341,338,332,345,308,446,576,570,587,607,629,660,693,1002,307,302,326,326,603,580,1402,1494
1707405,Esperantina,0,0,0,0,65,69,72,60,60,62,67,175,167,840,1190,1424,1467,1518,1571,1650,1732,2773,969,1058,1062,1091,1510,1476,2919,2810
1720309,São Sebastião do Tocantins,200,170,200,220,150,156,162,258,258,260,253,255,234,298,392,425,438,453,469,492,517,1840,669,681,686,812,935,960,3716,3951
1712157,Lavandeira,0,0,0,0,0,0,0,0,175,180,220,180,183,218,238,302,312,312,297,266,278,375,986,1005,944,910,1000,1000,1115,1330
1702703,Aurora do Tocantins,320,320,320,300,510,495,450,1617,350,385,431,466,464,590,700,735,770,771,688,656,656,842,1774,1830,1793,1788,1912,1944,2590,2849
1717800,Ponte Alta do Bom Jesus,200,200,200,200,207,214,207,297,299,300,371,390,360,377,420,540,510,511,504,473,473,358,1112,1160,1229,1100,1037,1041,1220,1386
1715259,Novo Jardim,0,0,0,0,198,200,206,148,150,162,190,198,220,248,264,253,264,265,257,260,348,350,556,550,578,725,696,745,815,895
1707009,Dianópolis,180,200,200,176,203,185,173,872,874,720,876,900,952,1050,1122,1200,1230,1240,1163,1104,1104,991,1578,1740,1683,1714,1778,1830,2190,2575
1718659,Rio da Conceição,0,0,0,0,12,13,14,30,30,31,32,33,34,40,45,41,41,41,44,35,35,24,43,44,50,51,54,54,64,70
1712702,Mateiros,0,0,0,0,45,46,48,112,115,122,130,136,146,114,83,98,96,108,109,86,95,88,221,219,233,134,134,140,161,144
1709302,Guaraí,4266,4320,4358,2726,924,990,1023,2600,2601,2602,2605,3000,3350,3400,3450,3500,3650,3423,3300,2900,4000,3500,6126,4423,4455,4365,4602,8991,8984,8904
