cod_ibge,nome,suino_1989,suino_1990,suino_1991,suino_1992,suino_1993,suino_1994,suino_1995,suino_1996,suino_1997,suino_1998,suino_1999,suino_2000,suino_2001,suino_2002,suino_2003,suino_2004,suino_2005,suino_2006,suino_2007,suino_2008,suino_2009,suino_2010,suino_2011,suino_2012,suino_2013,suino_2014,suino_2015,suino_2016,suino_2017,suino_2018
1717503,Pium,7600,8500,8200,9200,10120,10930,11800,4490,3220,3410,3590,3950,4270,4530,4800,4560,4650,4840,4350,4130,4100,3320,3000,3080,3203,3205,3321,4898,3766,3314
1713304,Miranorte,5560,5950,6300,6540,7190,7540,7990,2390,2500,2650,2780,2710,2660,2440,2200,2000,1880,1740,1300,1190,1085,2230,2240,2500,2130,2100,2170,2400,2230,2845
1700251,Abreulândia,0,0,0,0,1350,1490,1580,1530,1550,1560,1590,1600,1520,1400,1410,1160,1100,1050,1250,1220,1130,995,950,900,954,1580,1690,1920,1761,1677
1703909,Caseara,5560,5950,6200,6510,5820,4950,4360,820,850,890,930,900,850,790,715,660,630,560,1230,1140,1100,1120,1080,1700,1836,1995,1928,2136,2319,2531
1718709,Rio dos Bois,0,0,0,0,1470,1430,1360,460,490,510,530,520,530,490,450,420,350,310,1100,1030,950,500,505,510,470,540,645,700,660,700
1716505,Pedro Afonso,7200,7300,7400,7500,3000,3250,3300,1330,1420,1490,1550,1320,1280,1300,1145,750,690,590,1900,1750,1630,1585,1550,1650,1705,1900,1750,1500,1345,1670
1708254,Tabocão,0,0,0,0,800,900,900,1050,1080,1100,1120,1110,1090,1010,1570,680,620,540,700,730,680,1067,1010,1230,1500,1400,1320,1190,1125,1100
1712405,Lizarda,3800,4100,4270,4440,4960,5210,5310,1430,1500,1520,1560,1320,1250,1160,1050,700,620,560,540,510,475,392,400,400,520,550,400,550,50,715
1707207,Dois Irmãos do Tocantins,9260,9910,10100,10300,9270,8340,7510,5680,6080,6500,6820,6700,6350,5970,5375,4910,4800,4350,5620,5200,4960,5450,5200,4500,4680,5794,6249,6204,6327,6939
1703305,Bom Jesus do Tocantins,0,0,0,0,1950,2100,2200,1790,1860,1910,2000,1020,980,920,820,850,790,720,1420,1500,1380,2150,2270,2470,2280,2250,2260,2000,2090,2550
1704105,Centenário,0,0,0,0,1590,1700,1800,735,745,760,770,250,280,800,800,900,950,990,700,580,470,373,340,350,510,920,500,650,280,850
1721257,Tupirama,0,0,0,0,0,0,0,0,470,500,520,540,510,420,555,420,350,310,1000,960,890,420,420,465,535,540,930,800,868,870
1708304,Goianorte,6270,6300,6400,6620,7300,7800,8000,3900,3900,3950,4050,2100,2200,2800,3300,5350,5030,4770,4100,4500,3660,4300,4000,3500,3550,5031,5522,6784,6810,6599
1718881,Santa Maria do Tocantins,0,0,0,0,3300,3600,3650,1330,1450,1470,1500,1300,1370,1110,500,1000,890,920,1500,1260,1050,612,630,1025,1340,1530,1520,1500,1700,2000
1716703,Colméia,6000,6300,6500,6700,7300,7800,8100,2780,2800,2900,3000,3050,3150,2650,3000,2450,2695,2730,4200,4600,3700,3900,4000,4100,4700,4400,5117,5299,5291,2435
1701903,Araguacema,3030,3240,3370,3470,3100,2590,2710,1900,1980,2000,2040,2000,1880,1200,1130,820,750,680,1550,1590,1450,1570,1470,1700,1904,2142,2202,2072,2395,2645
1718501,Recursolândia,0,0,0,0,1300,1400,1450,2000,2100,2200,2300,1900,2000,1635,1500,1450,1300,1130,850,1300,1400,1062,1075,1190,1560,1565,1885,1950,1982,1968
1718402,Presidente Kennedy,4900,5200,5300,5500,2050,2200,2300,1035,1050,1050,1100,1300,1370,1130,910,750,677,640,800,700,750,850,900,970,1000,1235,1431,1118,1161,1215
1706001,Couto de Magalhães,7200,7250,7300,7350,6100,6600,6800,2360,2380,2450,2550,2200,2300,1870,1550,1360,1105,1090,2250,1820,1950,2300,2400,2500,2600,3300,3650,3580,3018,2725
1711100,Itaporã do Tocantins,7000,7300,7400,7500,8250,8500,8500,1950,2000,2100,2200,2000,2070,1700,1390,1570,1884,1690,2600,2150,1770,1500,1650,1690,1650,1800,1902,2020,1885,2175
1710508,Itacajá,14000,14000,11000,12000,6400,7000,7200,2750,2800,2860,2860,2600,2700,2250,1835,1530,1650,1730,2000,1750,1450,1600,1650,1700,1720,2040,2303,2078,2362,2414
1703602,Brasilândia do Tocantins,0,0,0,0,1950,2000,2100,550,565,570,605,510,530,520,300,350,470,430,1500,1220,1000,850,1000,1270,1400,848,772,887,801,738
1721307,Tupiratins,0,0,0,0,1950,2000,2100,360,380,415,420,350,375,325,260,253,225,210,850,700,570,465,500,530,550,745,1025,1012,883,852
1716653,Pequizeiro,4300,4400,4500,4630,5100,5500,5700,1900,1920,2000,2100,1700,1800,1560,1300,1800,1610,1490,2650,2180,1780,1600,1500,1560,1600,2533,2475,3050,3311,3554
1711803,Juarina,0,0,0,0,2000,2200,2300,1550,1550,1650,1750,1200,1260,1060,860,950,860,810,2600,2150,1800,1500,1200,1250,1300,1535,1627,1600,1808,1773
1710904,Itapiratins,0,0,0,0,3800,4000,4100,1000,4200,4300,4400,1500,1570,1300,1400,1140,1030,1120,1500,1200,1380,1350,1310,1420,1450,1758,1984,2193,2236,2386
1703842,Campos Lindos,0,0,0,0,5830,6250,6500,1680,1840,1900,1960,2100,2180,2400,2664,2690,2800,2860,1240,1400,1550,1590,1600,4300,4286,4520,1236,1942,2462,2818
1705508,Colinas do Tocantins,5200,5300,4600,4700,5100,5500,5750,2480,2480,2500,2550,2550,2700,2250,1850,1565,2100,2000,2500,2020,1710,1920,2300,2730,2800,3065,3326,3085,2500,2629
1703206,Bernardo Sayão,4100,4200,4500,4550,5000,5500,6000,2300,2350,2450,2500,2400,2500,1100,1800,2030,1840,1760,3000,2000,1450,1720,2050,2210,2200,2100,2497,2796,3404,2539
1703057,Bandeirantes do Tocantins,0,0,0,0,0,0,0,0,2120,2150,2200,2100,2200,1800,1500,1270,1150,1080,1700,1400,1250,1400,1670,1750,1700,1650,1663,1663,1578,1609
1702307,Arapoema,15000,15000,12000,12300,10500,11500,12000,3450,1290,1330,1380,1350,1600,1500,1400,2100,1820,1725,1700,3200,2650,2200,1800,1880,1800,1600,2341,2275,2450,2132
1709005,Goiatins,25900,26900,28300,29500,26610,28200,29400,3150,3400,3520,3630,3930,3990,4070,4196,4220,4345,4410,3400,3900,4100,4150,4200,3450,3368,3850,4900,5000,4343,4041
1715705,Palmeirante,0,0,0,0,8740,9400,9780,1600,1650,1700,1800,1500,1400,1160,930,850,765,790,2900,2400,1940,2300,2200,2350,2300,2355,2253,2157,2345,2445
1714880,Nova Olinda,3000,3000,3000,3200,3500,3800,3900,1960,1975,2000,2100,1700,1760,1800,1700,1780,1610,1520,4600,3700,3050,2600,2400,2500,2520,3042,3226,3516,3694,3651
1703073,Barra do Ouro,0,0,0,0,0,0,0,0,1000,1070,1120,1180,1205,1270,1346,1370,1420,1650,1080,1120,1300,1320,1340,700,394,850,873,900,698,944
1716307,Pau d'Arco,0,0,0,0,2900,3000,3100,2500,2550,2600,2700,2200,2200,1820,1900,1555,1390,1210,2200,1800,1490,1600,1500,1250,1300,144,1565,1814,1993,1744
1707702,Filadélfia,11700,13000,13700,13950,6530,6650,6950,2100,2200,2280,2390,2470,2520,2750,3011,3045,3120,3160,2400,3000,3300,3350,3432,2520,2510,2830,3080,3041,3366,3452
1702109,Araguaína,21200,22800,26000,28000,15390,16780,17640,3500,4060,4140,4240,4350,4450,4640,5104,5120,5460,5800,3000,3150,3340,3390,3410,4900,5164,4700,6335,6327,5691,6056
1703883,Carmolândia,0,0,0,0,730,780,835,240,280,295,307,320,335,360,380,395,430,440,410,335,520,550,545,150,317,320,336,350,343,328
1703008,Babaçulândia,3700,4160,4350,4550,5000,5400,5550,1780,2050,2130,2230,2365,2425,2540,2643,2675,2770,2880,1910,3600,3630,3700,3750,2150,2179,2190,2046,2033,2048,2330
1718865,Santa Fé do Araguaia,0,0,0,0,3860,4150,4300,300,350,361,500,560,570,615,1010,1050,1090,1100,1540,1550,2310,2450,2480,1450,1373,1450,1709,1992,1929,1911
1713957,Muricilândia,0,0,0,0,3810,4020,4100,1060,1100,1115,1140,1170,1220,1300,1350,1380,1440,1455,1180,1800,2480,2700,2720,1250,1201,920,1377,1247,1443,1408
1701309,Aragominas,0,0,0,0,4040,4270,4750,1200,1250,1320,1440,1550,1595,1650,1695,1720,1810,1870,1940,2160,2440,2470,2540,2200,1982,2190,2587,2357,2653,4115
1722081,Wanderlândia,3030,3400,3700,3860,4240,4570,4786,1680,1800,1900,1950,2010,2070,2200,2350,2475,2550,2590,1280,2100,2250,2350,2380,2400,1918,1840,1847,1571,1831,1701
1706506,Darcinópolis,0,0,0,0,2500,2720,2955,630,700,720,735,680,740,850,892,925,964,980,890,1500,1600,1737,1762,1931,1406,1583,1786,1630,1761,1848
1702158,Araguanã,0,0,0,0,3480,3750,3870,135,150,175,189,260,269,300,325,350,370,395,450,790,1000,1050,1070,550,650,630,688,861,763,655
1713809,Palmeiras do Tocantins,0,0,0,0,2200,2395,2612,525,536,548,547,500,475,500,300,314,322,338,526,559,586,946,982,1080,1113,1157,1250,1425,1532,1668
1717206,Piraquê,0,0,0,0,450,585,630,545,610,630,655,610,635,690,711,722,760,770,1150,2100,2170,2230,2250,1200,1168,1420,1896,1744,1638,1822
1700301,Aguiarnópolis,0,0,0,0,0,0,0,0,451,462,475,410,402,430,533,559,450,472,643,441,463,754,793,860,612,673,650,817,547,789
1720002,Santa Terezinha do Tocantins,0,0,0,0,0,0,0,0,533,540,460,745,675,700,310,317,283,296,498,537,563,322,336,327,310,343,312,39,340,356
1718550,Riachinho,0,0,0,0,7200,7845,8533,1730,2200,2230,2280,2400,2430,2530,2666,2720,2900,2940,1070,1050,1150,1222,1285,1400,1093,824,959,1057,1075,1111
1722107,Xambioá,3560,3980,4100,4150,3020,3210,3390,930,980,1020,1075,810,824,890,966,1030,1090,1110,870,1400,1700,1800,1830,1800,1591,1320,1758,1677,1772,1665
1701051,Angico,0,0,0,0,3300,3585,3890,395,420,445,495,440,470,510,530,585,620,660,700,770,900,979,973,883,337,382,401,556,453,654
1714302,Nazaré,3000,3200,3800,5000,2600,2820,3065,1145,603,605,540,722,655,680,910,940,365,383,638,701,735,535,568,540,725,703,913,1021,1104,1089
1712454,Luzinópolis,0,0,0,0,0,0,0,0,275,386,408,450,414,450,360,394,308,323,423,413,432,444,449,481,250,267,285,63,672,350
1721208,Tocantinópolis,6000,6700,7500,9000,2900,3140,3417,1115,401,390,387,675,620,670,560,407,683,716,928,1001,1068,1248,1295,1445,1041,1244,1131,1331,952,999
1703826,Cachoeirinha,0,0,0,0,1900,2052,2228,295,301,231,240,200,191,210,190,228,180,188,294,315,330,343,973,1024,194,235,296,428,300,269
1701002,Ananás,7000,8200,9000,10000,5000,5500,6090,950,1000,1036,1110,850,920,980,1005,1070,1140,1210,1230,1320,1400,1446,1470,1629,819,729,946,974,3140,1058
1712801,Maurilândia do Tocantins,0,0,0,0,1300,1411,1534,1080,1105,1112,1088,860,775,810,620,399,376,394,680,711,746,749,756,705,658,875,19,42,59,846
1720101,São Bento do Tocantins,0,0,0,0,11700,12730,13845,520,531,538,515,470,436,470,500,525,345,361,554,566,584,812,839,930,381,401,1173,1208,1216,1277
1710706,Itaguatins,4000,4200,4300,4800,2800,3040,3238,1770,1804,1810,945,730,680,720,830,495,697,731,416,711,746,835,900,850,900,1000,1359,1725,1590,1521
1702901,Axixá do Tocantins,7000,6000,7000,8000,8800,9515,10317,1010,1037,1046,1070,915,855,880,590,585,515,540,973,983,1013,1355,3285,1240,1260,1280,1734,1841,1888,1622
1720804,Sítio Novo do Tocantins,4000,4300,5000,6000,6600,7140,7770,755,768,755,720,655,605,650,680,163,494,518,362,397,407,118,150,225,245,475,543,486,597,558
1720200,São Miguel do Tocantins,0,0,0,0,2500,2710,2946,832,848,850,805,625,590,610,180,87,139,145,226,261,275,358,300,400,438,603,786,595,534,558
1702554,Augustinópolis,6000,7200,8000,9000,10000,11050,12230,1198,1223,1245,1295,1305,1185,1180,2150,1513,1256,1317,2624,2721,2815,3000,3550,4000,4230,4849,5729,4560,4341,3905
1718303,Praia Norte,2000,2200,2200,3000,3200,3465,3768,440,450,455,435,470,445,480,300,307,390,409,508,487,462,378,420,410,415,620,758,1008,1330,1459
1702208,Araguatins,15000,17000,18000,20000,13000,14200,15610,4050,4130,4247,4340,3470,3235,3450,2300,1820,1030,1080,3833,3557,3445,6384,6800,6980,7500,8207,10014,11478,11543,11375
1703800,Buriti do Tocantins,4000,5000,6000,7000,4500,4970,5442,960,979,980,1005,800,730,760,670,891,830,871,2116,2268,2383,1162,1200,1080,1100,1050,1905,1592,1761,1721
1703891,Carrasco Bonito,0,0,0,0,2700,2930,3190,900,917,925,955,810,735,800,552,579,282,296,856,890,935,819,600,500,540,771,741,640,156,480
1718808,Sampaio,4000,4200,5000,6000,5000,5505,5995,265,273,280,282,325,302,310,240,270,277,290,255,252,248,84,130,120,132,404,258,734,801,551
1707405,Esperantina,0,0,0,0,1550,1680,1833,280,287,294,315,335,309,330,430,336,479,502,271,582,610,274,300,600,658,1088,943,924,1002,857
1720309,São Sebastião do Tocantins,2000,1700,2000,2400,1600,1734,1889,430,440,445,432,460,417,430,310,153,285,298,220,241,252,976,500,250,270,504,874,748,964,962
1712157,Lavandeira,0,0,0,0,0,0,0,0,900,950,1000,1070,1140,1140,1050,1010,980,1021,960,900,860,795,660,525,426,506,672,757,774,772
1702703,Aurora do Tocantins,3550,3650,4000,4300,4475,4922,5415,2498,1700,1785,1880,1975,2070,2050,1980,1850,1740,1740,1753,1670,1610,2310,2342,2131,1740,1917,2195,1768,1721,2214
1717800,Ponte Alta do Bom Jesus,4500,4750,5100,5450,3800,4000,4250,800,830,900,970,1020,1080,1090,1060,1000,970,981,1005,950,890,400,480,581,479,511,532,683,781,793
1715259,Novo Jardim,0,0,0,0,2100,2220,2400,215,225,240,260,280,300,310,260,230,220,241,241,215,200,300,350,396,477,426,450,473,511,584
1707009,Dianópolis,3000,3200,3450,4000,4400,4740,5100,1090,1145,1210,1270,1350,1380,1340,1100,1180,1150,1162,1173,1100,980,2220,2405,2306,2427,2304,2141,1669,1719,1872
1718659,Rio da Conceição,0,0,0,0,250,250,275,315,320,340,360,385,400,405,340,230,220,255,278,265,250,65,90,53,35,36,61,60,57,65
1712702,Mateiros,0,0,0,0,3630,3920,4230,620,670,740,810,890,960,1030,1090,1110,1145,1160,1040,940,850,875,700,550,432,433,480,459,451,404
1709302,Guaraí,6900,7000,7100,7300,7200,7700,7900,3100,3130,3200,3300,3000,3100,2500,2200,1860,2030,1930,2600,1350,3300,3614,3530,3920,4110,3500,3520,3500,3460,2130
