cod_ibge,nome,galin_1989,galin_1990,galin_1991,galin_1992,galin_1993,galin_1994,galin_1996,galin_1997,galin_1998,galin_1999,galin_2000,galin_2001,galin_2002,galin_2003,galin_2004,galin_2005,galin_2006,galin_2007,galin_2008,galin_2009,galin_2010,galin_2011,galin_2012,galin_2013,galin_2014,galin_2015,galin_2016,galin_2017,galin_2018,galin_1995
1720655,Silvanópolis,24000,27000,29020,31400,36110,41520,12880,13030,13680,14370,16520,18170,19810,21460,20380,20780,21195,18120,17760,16340,16500,14110,10276,9887,11138,11359,11943,12417,13027,47750
1703701,Brejinho de Nazaré,50000,55000,60000,67000,77050,88600,21400,6200,6800,7700,8850,9910,10900,11890,15900,19080,22130,19920,20300,22730,23860,22605,17778,15239,16229,16164,14384,16868,15556,101890
1718899,Santa Rita do Tocantins,0,0,0,0,0,0,0,22900,24000,25200,28980,31880,34750,37530,35650,34940,34590,30400,28880,27430,27980,71475,96377,74009,102281,88966,17529,14757,15510,0
1707553,Fátima,12200,13500,14800,16300,18745,21550,12070,8650,9100,9600,11040,12360,12720,14240,12820,13590,14130,12710,12070,11470,11130,108100,108668,8160,69731,267210,242738,51239,49764,24780
1715507,Oliveira de Fátima,0,0,0,0,0,0,0,3400,3600,3790,4360,4930,5520,6070,6190,6310,6440,5800,5680,5560,5670,5124,4404,63198,35567,12674,9438,16599,8420,0
1711902,Lagoa da Confusão,0,0,0,0,15180,17450,9290,9550,10500,11500,13200,14780,16260,17560,17030,16700,16870,19400,19700,19300,19600,18220,18000,18367,25663,27524,22790,25643,24998,20060
1706100,Cristalândia,47000,51700,56350,62000,56120,64530,17500,9600,10500,11550,12610,13370,14040,14740,16950,19490,22410,20170,19765,18970,17580,16330,16000,16640,17321,17587,14391,16815,16951,74210
1715002,Nova Rosalândia,6500,7500,8500,9500,10925,12560,5800,6000,6600,7260,8350,9520,10660,11510,10940,10600,11130,10020,9020,8300,8650,9150,10000,11109,16267,77251,168532,12682,11407,14440
1717909,Ponte Alta do Tocantins,42000,46000,49700,53700,54450,61530,32420,32800,34440,36170,41600,44930,47180,49530,47550,46120,46580,39600,37620,35740,35920,31850,25324,27545,29955,32408,27323,30182,29614,69530
1718451,Pugmil,0,0,0,0,0,0,0,4900,5100,5360,6160,6900,7730,8500,8070,7910,7990,7190,7040,6690,6500,6300,7000,7718,11667,13741,123693,7161,7735,0
1713601,Monte do Carmo,28000,31000,33900,37300,42895,49330,21590,21800,22900,24050,27660,30980,34080,36800,35330,34630,35320,33550,32860,31200,31510,31543,32458,39980,43685,45139,38310,40078,43461,56730
1719004,Santa Tereza do Tocantins,11000,12500,13800,15170,12040,13840,6500,6650,7000,7350,8450,9460,10500,11500,10920,11140,11250,9650,9840,10040,10240,9402,7752,7956,7660,9690,9213,10187,11024,15780
1711951,Lagoa do Tocantins,0,0,0,0,10810,12430,5500,5600,6160,6780,7790,8800,9860,10640,10430,10630,10840,9760,9560,9370,9560,9010,8450,7678,7373,8942,8514,9962,10250,14290
1716109,Paraíso do Tocantins,41000,45000,50000,55000,63250,72730,54600,53700,57460,60330,62140,59000,56000,56000,51600,48500,45500,70750,67730,69600,75160,69850,78000,86582,122000,190675,408835,54615,42957,83640
1718204,Porto Nacional,78000,86000,94200,105000,120750,138800,51730,49000,51450,54540,62720,72130,79340,83300,85800,87380,89130,75760,78100,68728,72160,81624,79469,152966,193996,161328,105684,98442,76947,159620
1704600,Chapada de Areia,0,0,0,0,0,0,0,12250,12980,13630,13900,13700,12800,11520,10600,10300,9600,7000,6800,6500,5990,5910,6800,7684,10992,10277,54869,12329,12466,0
1721000,Palmas,20000,15000,16500,18200,27300,30344,37000,40000,40000,41200,41600,38500,41000,39500,38612,40715,42214,45660,42103,43467,42968,41563,39663,40402,40386,62805,66421,69095,53048,31000
1715101,Novo Acordo,30000,33000,36800,40500,31625,35735,4200,4300,4500,4730,5200,5720,6290,6660,7060,7270,7490,8240,9890,9500,9690,8952,6950,4575,5330,5969,5922,7609,8022,40380
1720150,São Félix do Tocantins,0,0,0,0,8855,10000,3000,3120,3320,3520,3920,4320,4750,5200,4940,5040,5140,4985,5100,4690,4740,4688,4383,4692,4677,5208,4520,5305,6061,11300
1713700,Monte Santo do Tocantins,0,0,0,0,0,0,0,14150,14860,15600,15910,15000,13900,12510,11600,11100,10100,9300,8500,7800,8930,8180,9000,9989,151742,54389,144783,19593,16475,0
1701101,Aparecida do Rio Negro,15000,16000,16960,17980,20680,23160,12700,12900,13200,13600,15256,16780,18450,20300,22330,24560,26700,24030,24510,23040,22340,18357,16630,15037,14646,17501,15732,16524,15765,25480
1703107,Barrolândia,22800,24620,26590,28720,33030,36990,19450,12540,13290,13950,14230,13700,13000,12350,11700,11500,10600,8650,8600,8200,8880,8410,14000,14420,10829,13309,35091,21770,17539,40690
1712009,Lajeado,0,0,0,0,12130,10310,3800,5000,4100,4260,4340,4350,4240,3820,3750,3500,3150,3050,2600,2430,5628,5500,6870,6850,7250,8500,7000,7200,7080,8760
1712504,Marianópolis do Tocantins,9820,10510,11140,11810,13580,15210,9900,10380,11000,11440,11690,11000,10100,9090,8700,8300,7600,10050,9810,9170,9810,9150,10000,11412,17878,19840,22790,23931,19685,16730
1713205,Miracema do Tocantins,41640,44970,48120,51490,53290,61270,35620,41950,42600,45150,46500,44100,43020,38720,35450,33200,30000,75400,76400,74400,187500,187000,32760,105760,95500,174000,222300,81388,82075,70460
1707108,Divinópolis do Tocantins,17450,18670,19600,20580,23670,26030,24260,18560,19670,20650,21060,20000,18400,16580,18000,17800,16400,23400,22800,20900,22390,20800,18000,18180,34575,37595,32287,39552,38033,28630
1721109,Tocantínia,25000,26750,27550,26380,18200,16380,8290,8830,9270,9640,9830,9460,9000,8100,7500,7130,6600,11900,10780,9950,10734,10720,10670,12040,11800,11530,11000,11700,11456,14740
1718758,Rio Sono,45000,48600,52000,55120,63390,69730,28490,33410,35080,36480,32830,32000,30000,25500,23200,21700,19400,25200,24020,21950,24900,24850,26335,28680,28930,34770,35200,33300,36545,62760
1717503,Pium,44700,50000,54400,60000,69000,79350,60200,49000,51400,53970,62000,69440,76380,80200,72180,68570,69255,58870,52980,47680,44000,43100,45000,48153,25780,83698,19666,24110,28811,91250
1713304,Miranorte,34870,37310,39550,41920,48210,52060,19510,21070,22000,23100,23790,24100,23500,21570,19950,19000,17200,10190,9420,8680,13715,13700,14900,14600,15300,18335,18300,18230,19373,56220
1700251,Abreulândia,0,0,0,0,8540,9820,11800,12350,13090,13280,14200,14000,13200,13300,12650,12500,11600,6600,6400,6000,6900,6600,6750,7020,12045,14139,13572,16386,14164,10800
1703909,Caseara,11680,12500,13240,14030,16130,16130,11200,13040,13690,14370,14800,14100,13200,11880,11000,10500,9600,12400,11900,11170,10190,9750,15000,15900,16688,18263,15208,19350,18283,17740
1718709,Rio dos Bois,0,0,0,0,5920,6630,6000,6360,6460,6780,6900,7000,6600,6090,5680,5400,5000,9000,8700,8110,4102,4085,4960,5320,5300,7400,7200,7500,7864,7290
1716505,Pedro Afonso,34200,35400,36000,37900,15800,17300,13530,14330,15040,15640,15950,16000,15200,13370,12350,11500,10300,9900,9550,8870,11910,11800,13510,13400,13820,15820,11500,10320,12107,18200
1708254,Tabocão,0,0,0,0,6400,7000,5320,4920,5170,5370,5380,5300,5000,4500,4210,4000,3700,4200,3900,3690,5720,5420,7760,7600,7500,7830,7700,7900,7400,7150
1712405,Lizarda,20000,21600,22680,23810,27380,30670,14850,15280,16040,16680,16350,15900,14800,13300,12500,12000,11800,9100,8700,8210,4170,4050,6300,6750,8100,7290,9020,9025,10700,32200
1707207,Dois Irmãos do Tocantins,59540,63700,66880,70220,63200,66360,52380,55770,58560,61490,63330,61000,57000,51300,44790,44000,40600,39240,37200,33960,37170,34300,28500,29070,42761,49327,39434,45606,50737,67690
1703305,Bom Jesus do Tocantins,0,0,0,0,10700,11780,9900,10490,11120,11680,11900,11600,11000,10700,10100,10000,9200,7800,7300,6900,9263,9970,13920,13830,13450,13850,12500,11365,13000,12400
1704105,Centenário,0,0,0,0,5600,6000,9500,9500,9600,9700,8000,9000,7400,3500,4000,3600,3930,2000,5000,5850,4750,4880,4880,4000,9450,8500,9550,2000,9230,6200
1721257,Tupirama,0,0,0,0,0,0,0,5710,6050,6290,6350,6450,6000,5265,4790,4580,4200,5500,4980,4570,3380,3395,3960,3800,3790,4100,4000,4130,4500,0
1708304,Goianorte,23310,23700,24500,25700,29500,32500,22860,22900,23000,23100,21000,22000,17000,20200,16400,13000,13900,3400,18500,19500,21000,18500,19100,20000,29875,30602,29550,34145,33642,33800
1718881,Santa Maria do Tocantins,0,0,0,0,14600,16000,7600,7600,7850,7950,6500,6600,11000,5000,8600,7800,8200,2800,10500,8550,3600,3650,8220,9790,10850,12295,11000,11310,12050,16800
1716703,Colméia,38100,38500,40900,43500,50000,55000,21870,21900,22100,23000,21000,22000,18000,21000,20000,17000,17500,2800,23000,22000,25500,23500,26300,24000,28000,29743,27404,27918,25918,58500
1701903,Araguacema,16880,18230,19690,20870,15450,16990,9900,10490,11120,11790,12140,12000,11200,11380,10600,10200,9700,15500,15800,14500,12800,11900,13400,14874,15208,18508,16932,18860,18717,18690
1718501,Recursolândia,0,0,0,0,4600,5000,17200,17200,17600,17700,15000,15100,12100,13800,13500,12200,12700,2800,10400,8800,7710,7730,8420,10745,10950,12680,11500,12802,13410,5000
1718402,Presidente Kennedy,26200,24000,25000,25400,10800,11000,9600,9600,9700,10000,9000,9100,7400,4000,3300,2980,3090,1400,3000,3500,5100,5800,6800,6820,7176,7243,6953,7573,6669,11000
1706001,Couto de Magalhães,28700,29100,29500,30000,25300,27800,18800,18800,19000,19000,18000,17000,13800,8100,7000,5700,5900,2100,16500,17000,20400,20000,23000,25000,28550,29719,26665,29396,29111,28500
1711100,Itaporã do Tocantins,32000,33000,34000,35000,40000,44000,10700,10800,10900,11000,9000,9100,7400,6200,7000,5800,6100,2800,12000,9750,7900,7700,8800,8860,8216,7976,9230,9759,10063,44000
1710508,Itacajá,60000,50000,40000,41000,23000,24000,14500,14600,14700,14800,13000,13200,10600,9000,8800,7160,7500,2200,16000,13350,16000,15500,17835,18000,19709,20572,17774,20404,19929,25000
1703602,Brasilândia do Tocantins,0,0,0,0,11900,12000,4400,4400,4500,4600,4000,4200,4600,8400,6800,6200,6550,1950,2900,3050,3200,3650,4370,5000,5431,5095,4762,3283,5134,12000
1721307,Tupiratins,0,0,0,0,6400,6600,3900,3920,4000,4100,4000,4200,3400,2720,2640,2400,2580,2000,14000,11400,6500,6300,7220,7800,7496,9556,8328,9730,9177,6600
1716653,Pequizeiro,26900,28100,28600,29800,34300,37700,12690,12700,13000,13100,11000,10000,8500,8400,14500,13000,13450,2800,19000,15300,14000,13000,13200,14000,25000,25657,25349,29968,27649,39600
1711803,Juarina,0,0,0,0,9200,10200,21100,21200,21700,22500,19000,19100,15400,3000,3400,2900,3150,2600,11500,9400,9900,8100,8700,9000,11409,11960,11600,12952,12363,10500
1710904,Itapiratins,0,0,0,0,13600,14000,13100,14400,14600,15000,13000,13100,10600,11000,10600,9600,10530,2000,11000,12400,8000,13100,13500,14000,16729,16717,15139,16439,17672,14200
1703842,Campos Lindos,0,0,0,0,18975,20400,23000,26600,27370,27600,28700,29000,30700,32630,32900,33500,34600,11570,11610,11720,11830,12000,30000,33662,33815,30535,25500,23989,21626,23000
1705508,Colinas do Tocantins,24000,25000,16000,16400,18000,19000,22050,23000,23000,22000,22000,23000,18600,15000,12100,11840,12350,2200,9100,10800,12900,13200,14300,14200,14964,12251,11999,13999,11255,20000
1703206,Bernardo Sayão,26400,24000,24000,25000,28500,30000,20100,20100,20200,20200,20000,18000,14600,11700,10100,8200,9000,2800,13800,14000,13700,13100,13850,14000,14400,17103,15430,16737,15423,30000
1703057,Bandeirantes do Tocantins,0,0,0,0,0,0,0,13100,13200,13300,12500,13500,11000,8900,7300,6970,7150,2000,8200,9700,11500,12900,13000,13500,9000,9392,9285,8912,8518,0
1702307,Arapoema,52000,50000,40000,41000,35000,36000,19600,6450,6550,6600,6600,6900,6500,7200,7500,7800,8300,2000,10150,8900,10600,10300,10600,11500,12400,12797,11885,12003,11597,36000
1709005,Goiatins,100500,102000,105000,110000,107524,113000,27400,29000,30300,31000,31750,32500,35000,37820,37850,38500,38700,22900,20000,21400,21650,21700,32400,34702,35360,37768,33289,39181,26787,124000
1715705,Palmeirante,0,0,0,0,54050,57500,20500,20600,20800,21000,17000,16000,13000,10400,9600,8600,8900,1800,23100,16000,17000,16850,17500,18000,32924,20551,19380,20313,20136,62900
1714880,Nova Olinda,16000,17000,18000,19000,21800,22000,18660,18700,18800,19000,16000,14500,14000,16000,17100,15380,14500,2000,24000,24300,24000,23000,25500,25000,30812,32737,27561,28522,29494,22000
1703073,Barra do Ouro,0,0,0,0,0,0,0,10000,10300,10600,10900,11100,12200,13376,13470,14000,14300,9300,12000,13600,13800,14000,6000,4554,5880,8583,8697,8912,8879,0
1716307,Pau d'Arco,0,0,0,0,10000,11000,16200,16200,16300,16400,14000,13000,10500,11000,11600,10600,11010,1300,12600,10200,9000,9650,10100,10200,11980,11866,11656,12319,12806,11000
1707702,Filadélfia,81700,84000,92000,98000,58650,63000,24200,26500,28000,29500,30150,31000,33000,35250,35700,37500,38500,29000,29500,31500,32000,32200,30000,29918,31410,37354,32969,33689,35951,69000
1702109,Araguaína,143000,150000,190000,215000,165000,181400,40000,45000,66500,72000,282000,289000,300000,313500,290000,299000,304000,607920,375000,381000,384000,385900,423700,235473,295120,306931,282837,242136,157780,220000
1703883,Carmolândia,0,0,0,0,6400,6855,1000,2000,2100,2300,2600,2900,3400,3560,3650,3900,3945,3800,3900,5200,5460,5500,1600,2716,2500,3626,3137,4000,3054,7320
1703008,Babaçulândia,75000,86200,89000,93000,106940,115000,48500,60000,62000,64500,64600,66500,68700,71160,71900,72500,73100,22500,33500,34300,34750,34900,39000,372554,445160,466972,485725,373049,335617,120000
1718865,Santa Fé do Araguaia,0,0,0,0,22500,24100,2450,2600,2800,3000,3250,3500,4000,4610,4700,4900,5040,8000,8150,9318,9800,9900,26500,31241,31170,92155,80564,30695,32603,25920
1713957,Muricilândia,0,0,0,0,23450,25100,6600,7200,7400,7600,7900,8300,9400,9680,9900,10300,10450,43110,28000,30100,31000,31200,7880,39594,40000,38782,38187,39553,39929,27150
1701309,Aragominas,0,0,0,0,21210,22500,9300,10200,10700,11200,11400,11650,12300,13000,13300,13900,14200,14400,20500,22000,22260,22300,27000,30351,30000,30457,28537,25548,25701,24325
1722081,Wanderlândia,160800,184800,186200,193300,240000,257000,282000,290500,293000,25000,130000,138500,150000,161920,151700,155000,156500,313020,314000,306800,311400,311500,66000,70150,118340,195523,184014,186321,55058,280000
1706506,Darcinópolis,0,0,0,0,19000,21550,15200,16300,16500,16700,16000,17200,18500,20030,20400,20900,20970,42420,60000,35000,36614,38354,42472,45000,69841,135000,830287,1209064,1687464,23730
1702158,Araguanã,0,0,0,0,8170,8800,830,950,1040,1150,2500,2650,2900,2910,3070,3200,3460,2200,5800,7100,7300,7350,7100,8606,7400,8564,7489,7309,6809,9410
1713809,Palmeiras do Tocantins,0,0,0,0,22000,24900,10250,10515,10575,10340,9650,9300,9600,154000,214540,225015,371256,500559,525586,551924,195960,203389,216898,1094000,1094000,1057000,1323546,1030222,982576,27590
1717206,Piraquê,0,0,0,0,20700,22300,3300,3500,3560,3700,3850,3950,4100,4280,4330,4600,4700,10320,20500,20400,20900,21100,14400,15955,15200,17345,16705,17844,17174,25200
1700301,Aguiarnópolis,0,0,0,0,0,0,0,3430,3590,3750,3800,3480,3720,3900,14219,44417,99883,76127,84533,88763,284988,294136,304804,380000,1320000,1672532,1983244,692897,310436,0
1720002,Santa Terezinha do Tocantins,0,0,0,0,0,0,0,9930,9993,8850,6250,5650,5800,5950,34106,37020,41832,47269,53561,56238,6441,6812,7116,483630,815000,867000,920000,766800,461244,0
1718550,Riachinho,0,0,0,0,22000,24340,13800,15000,15200,15700,15850,16800,17800,18900,19050,19400,19600,12000,12700,13100,13773,14252,15788,16388,16865,18394,18394,15350,19194,26910
1722107,Xambioá,38500,44250,60000,64000,52900,56700,13300,15000,15700,16000,16200,16790,17700,19250,19550,19750,20000,10400,12000,14200,14600,14700,14800,16390,17030,19291,17615,18551,19229,61500
1701051,Angico,0,0,0,0,22500,24850,5450,5900,6300,6900,6800,7060,7800,8500,8650,9500,9850,7100,7650,7850,8149,8498,9504,304000,425000,1574525,1574525,360931,281689,27390
1714302,Nazaré,27000,29000,33000,38000,19000,20913,20880,11170,11245,10620,8200,7600,8100,54000,128780,136912,154709,120449,114281,119995,7963,8133,8747,335340,460000,465000,560000,428000,206240,22858
1712454,Luzinópolis,0,0,0,0,0,0,0,3595,4825,4920,5150,4700,5030,32400,36540,212389,166595,133258,148291,155705,168085,171100,179102,292000,649000,565000,638222,322400,9026,0
1721208,Tocantinópolis,65000,70000,75000,85000,27000,29830,19153,11280,11350,11200,9430,7660,30280,193400,181654,186580,330835,224965,243973,256171,270428,265852,280111,685240,964000,819000,920000,609088,382242,32822
1703826,Cachoeirinha,0,0,0,0,22000,24310,3350,3435,2755,2900,2520,2495,2900,2970,3345,44472,86252,97964,99060,104012,135215,8498,8311,80000,210000,215987,298340,174476,174489,26800
1701002,Ananás,19000,21000,30000,33000,16000,17750,12500,13000,13570,15200,12700,14000,15500,16600,16900,18000,20000,15500,16200,17000,17919,18967,21782,10010,8506,9223,10113,8596,11032,19650
1712801,Maurilândia do Tocantins,0,0,0,0,9700,10709,14662,14970,15040,14600,10300,9315,9580,8400,8896,8610,9728,10992,11539,12086,13916,14329,15384,11715,13784,12334,13123,14220,15667,11845
1720101,São Bento do Tocantins,0,0,0,0,33000,36500,7200,7405,7470,7250,7200,6770,6920,6280,7096,5750,6497,7341,7707,8091,6253,6443,6746,8033,7403,13557,15235,18345,17048,40195
1710706,Itaguatins,27000,30000,30000,32000,21000,23100,29539,30340,30480,27450,20750,19400,19780,20000,11966,12774,14434,16309,17145,18001,16980,18500,23000,23100,21199,24178,23922,25237,27158,25605
1702901,Axixá do Tocantins,26000,28000,31000,34000,36000,39200,13200,13580,13710,13730,11500,10810,10950,11200,14000,15820,17876,20198,21207,22266,13572,15000,15080,15220,12934,16732,16113,16461,17210,43070
1720804,Sítio Novo do Tocantins,26000,29000,31000,33000,35000,38500,11430,11745,11810,11500,9500,8850,9300,9600,10848,9402,10623,12003,12396,13015,2840,4000,6050,6590,8398,10407,11191,11867,12647,42375
1720200,São Miguel do Tocantins,0,0,0,0,16200,17830,11800,11970,12050,11500,11050,10200,10580,10700,12144,10906,12323,13924,14840,15541,4586,5600,8800,9570,9222,6677,6804,6278,5799,19627
1702554,Augustinópolis,27000,29000,31000,35000,38000,42300,11750,12090,12370,12600,11063,10200,10600,11000,3126,3531,3989,4506,2304,4164,57401,34000,32400,31900,31504,22594,20270,21346,20929,46890
1718303,Praia Norte,15000,17000,17000,18000,20000,22140,6640,6828,6950,6900,6500,6100,6400,6500,7677,4775,5394,6094,6398,6717,4969,5200,4180,4220,2287,5681,7806,9811,12323,24544
1702208,Araguatins,77000,80000,85000,95000,73000,81200,47200,48140,49550,50450,39200,35400,36860,37300,38329,8276,9351,10785,11324,11889,57402,61600,66750,73250,76042,84088,72492,75173,78246,89900
1703800,Buriti do Tocantins,14000,16000,17500,21000,23000,25420,3570,3660,3705,3810,3450,3200,3400,6200,1054,6602,7459,8428,8848,9289,5121,5300,5100,5250,5382,5197,5661,5734,5768,27985
1703891,Carrasco Bonito,0,0,0,0,4000,4400,4500,4612,4615,4780,4600,4250,4400,4520,1980,2237,2527,2855,3012,3151,3024,1500,1900,2071,3547,3555,2315,447,2934,4875
1718808,Sampaio,18000,20000,22000,27000,18500,20360,2385,2462,2518,2610,3100,2905,3180,3300,3745,3074,3472,3922,4118,4343,1249,1500,1200,1300,3427,2352,4859,5200,4348,22405
1707405,Esperantina,0,0,0,0,2800,3100,5080,5215,5260,5430,5400,4940,5300,5450,6158,7716,8718,9850,10342,10858,10836,4000,10350,11260,11724,12462,11010,12100,11566,3430
1720309,São Sebastião do Tocantins,10000,8000,9000,11200,9500,10490,4610,4750,4800,4850,4600,4300,4400,4500,5084,3934,4445,5022,5256,5518,3000,1700,2040,2240,3811,5034,4812,4655,5136,11545
1712157,Lavandeira,0,0,0,0,0,0,0,6950,7500,8115,8700,9300,9450,9900,10300,10600,10772,10801,10500,10800,5000,6500,8014,7000,6313,8125,7980,7358,8145,0
1702703,Aurora do Tocantins,14500,15100,15650,16800,18400,21160,18300,11770,12600,13425,14360,15280,15500,15800,16200,16500,16495,16620,16000,15900,13860,16105,14477,15469,15870,16479,13090,13690,14790,23300
1717800,Ponte Alta do Bom Jesus,26000,26500,27000,28000,18000,20000,14905,15200,16300,17900,19160,20300,20700,21000,21300,21700,22125,22292,22100,22500,10400,11415,11041,11766,12370,14310,13304,15900,17965,22000
1715259,Novo Jardim,0,0,0,0,12200,13500,1600,1680,1850,2035,2200,2380,2550,2800,3100,3400,3600,3840,3700,3900,4400,3745,3766,3499,3795,4025,3349,4830,5789,15000
