cod_ibge,nome,bovin_1989,bovin_1990,bovin_1991,bovin_1992,bovin_1993,bovin_1994,bovin_1995,bovin_1996,bovin_1997,bovin_1998,bovin_1999,bovin_2000,bovin_2001,bovin_2002,bovin_2003,bovin_2004,bovin_2005,bovin_2006,bovin_2007,bovin_2008,bovin_2009,bovin_2010,bovin_2011,bovin_2012,bovin_2013,bovin_2014,bovin_2015,bovin_2016,bovin_2017,bovin_2018
1700350,Aliança do Tocantins,56000,57000,58000,59000,64500,66000,67200,70500,39800,40600,41500,42100,42800,47000,66200,70150,65500,68150,67170,74000,68200,69900,71900,71308,68613,68860,74053,75783,74721,72874
1706258,Crixás do Tocantins,0,0,0,0,0,0,0,0,31800,32400,33500,33900,34500,36000,30480,36440,31300,37380,42910,42240,43800,45100,45820,42659,41781,38730,36939,36627,36184,34742
1707306,Dueré,73600,75000,76500,78000,74500,77000,78500,85600,87000,88700,89500,90700,92200,101000,120630,144150,103350,111100,102500,106730,122000,118600,133350,136095,133963,133180,154629,153210,148691,139699
1700400,Almas,20000,18300,18000,18500,18800,18680,18560,22680,23000,23500,24000,25200,31000,35200,39000,39490,42830,39569,39447,37200,35000,40890,37050,40477,41329,42515,42077,52766,54298,57186
1717008,Pindorama do Tocantins,16500,18000,19500,21100,22790,23900,25095,21600,21800,22200,26000,30556,30556,33912,35400,34330,34285,37300,36490,36860,41308,46000,44700,51063,53931,54256,53047,55976,54810,48352
1709807,Ipueiras,0,0,0,0,0,0,0,0,10500,10700,10500,13276,15995,14347,15180,14430,14365,16200,16240,17270,18440,15430,16900,18277,17960,18446,18986,20844,20471,18916
1720655,Silvanópolis,25000,27500,30000,32700,35970,38130,40420,25250,25700,26300,26600,33106,37156,35793,32400,31000,32600,37650,34640,32100,33080,35430,35100,36882,31229,30055,31263,32988,35086,34087
1703701,Brejinho de Nazaré,62000,66000,70000,75000,82500,87450,91800,82500,43800,44600,51239,52641,59044,67015,71900,68350,71350,67790,74080,69225,71920,78250,65330,59726,55433,54927,52105,53998,52840,49321
1718899,Santa Rita do Tocantins,0,0,0,0,0,0,0,0,72000,73440,74240,52004,62623,64925,65500,75900,69300,76250,75680,75700,78600,79995,86320,84575,87045,78412,86028,87848,97009,86797
1707553,Fátima,16300,17500,18900,20400,22440,23560,24500,17600,11000,11300,12913,13397,17316,16427,17570,17800,17980,16800,16810,17310,18680,20910,20510,21457,21137,19818,20621,21738,20960,20828
1715507,Oliveira de Fátima,0,0,0,0,0,0,0,0,7000,7200,8136,8155,10532,11097,11650,12600,11970,10650,10440,9920,11470,12560,11400,10946,10085,10071,10635,11012,10679,9529
1711902,Lagoa da Confusão,0,0,0,0,55000,57750,60630,67520,69000,70400,71000,94000,84423,104029,140790,114400,112700,100210,88800,109580,90890,94730,99580,102600,106704,90941,93729,99387,108105,92394
1706100,Cristalândia,119000,128000,136000,145000,105000,111300,116860,72800,42000,43000,44300,61100,71910,59493,64880,67800,60000,65240,58405,59240,63050,63100,65820,65000,66950,73545,71656,74076,74974,66145
1715002,Nova Rosalândia,13000,14000,15200,16400,18040,18940,19890,16150,16500,16900,17500,21116,21691,21007,26500,25700,17680,20250,20175,21940,22100,24000,22600,20500,21935,20320,21459,21420,21054,18593
1717909,Ponte Alta do Tocantins,43000,47000,50000,53000,52700,55300,58065,40800,41300,42100,42950,46482,46026,55930,58300,63300,62030,60380,56550,55570,55420,55990,54100,53644,55514,57052,58567,63403,65071,65427
1718451,Pugmil,0,0,0,0,0,0,0,0,15000,15300,15610,13307,16533,19089,18900,20080,19680,17590,16530,18210,17900,19290,19800,20270,20878,18358,21352,19868,17078,14936
1713601,Monte do Carmo,60000,65000,70000,75000,82500,87450,92700,55000,56000,57150,60000,59086,68861,75452,78500,80850,79280,79590,78725,76100,76210,77100,75300,73606,70631,66484,72101,74322,71079,70435
1719004,Santa Tereza do Tocantins,14000,15200,16400,17800,13070,13730,14420,10130,10350,10600,10900,11280,15318,15919,17360,16800,20100,18090,19295,16070,16300,18850,19500,19577,19775,17836,21392,21846,21121,18042
1711951,Lagoa do Tocantins,0,0,0,0,7630,8010,8410,5580,6000,6300,6550,6800,7776,8736,9400,9870,11080,11670,11195,10560,11400,11890,11610,12032,12877,11784,11864,12414,12854,12603
1716109,Paraíso do Tocantins,69000,75000,80000,86500,95150,100860,105900,70190,56860,57980,59140,62100,83200,87000,91830,91000,84100,85200,90500,88600,85200,87790,86450,87600,91104,88705,95552,99339,92849,86617
1718204,Porto Nacional,90000,97000,105000,115000,126500,134000,140700,81600,72000,73500,87300,100617,104867,114485,120300,126220,118100,114490,109400,115600,113420,120980,119310,110798,107328,105174,109494,115289,112666,107205
1704600,Chapada de Areia,0,0,0,0,0,0,0,0,19260,20030,21630,20800,25000,27000,28300,25000,24970,25500,26800,28600,31460,29280,29300,28600,30030,28280,32442,35796,33577,29722
1721000,Palmas,22000,18000,19500,21100,22999,23688,24000,26430,30000,30900,33500,27000,33100,33900,33850,33336,35133,34978,30801,29780,28360,30973,32120,32833,31555,30872,31586,31242,29979,27147
1715101,Novo Acordo,18500,20000,21500,23200,19765,20750,21790,6980,7100,7250,7450,6358,6687,8221,8550,9405,10250,11990,12050,12370,12880,12760,12610,14164,15038,13539,14353,13818,13176,12797
1720150,São Félix do Tocantins,0,0,0,0,4000,4160,4330,2600,2700,2800,2900,3649,3763,3631,3860,4010,4150,4310,4535,4600,4340,4270,4110,4080,4016,3586,3827,3645,3730,3663
1713700,Monte Santo do Tocantins,0,0,0,0,0,0,0,0,35240,36300,37020,35800,39100,40300,43100,42200,41000,41200,39000,41920,44800,50200,48700,56000,61043,53147,58283,63704,67679,59841
1701101,Aparecida do Rio Negro,12000,12480,12850,13240,14430,15300,16220,27350,27600,28000,28560,29150,24491,25908,26270,27700,31850,33180,29700,27920,26800,27070,26930,29186,25186,23954,23934,25744,21467,19717
1703107,Barrolândia,47820,49730,49800,50800,48260,45850,46770,40600,30850,31770,32400,39840,58000,58500,57200,55500,53940,57000,59000,58900,58500,64800,57080,53500,54570,55252,65416,67667,64933,60662
1712009,Lajeado,0,0,0,0,4790,4980,4480,4660,4760,4800,4900,5000,5100,5350,6500,6600,6680,6800,6100,6000,6500,7666,7500,7530,6900,6250,6700,6500,6130,5480
1712504,Marianópolis do Tocantins,15200,15810,16280,16770,18110,18650,18090,51130,51640,52670,53190,61170,82000,86000,95500,96000,94950,93400,101500,99100,105050,111270,112550,110000,112230,108676,103088,105261,106721,102721
1713205,Miracema do Tocantins,54920,57110,59390,61770,61490,65180,68440,71960,73030,74500,76800,70780,87800,88700,99000,108200,97000,104900,121630,113100,122380,125306,118500,117300,122725,124860,130110,147800,133190,119200
1707108,Divinópolis do Tocantins,22820,23500,24200,24930,26920,25300,24030,72610,52780,53830,54370,68600,70000,80000,85000,91500,89750,83500,95000,96000,105500,109100,105080,109500,114975,103970,110896,120587,113153,110846
1721109,Tocantínia,19000,19380,17440,14820,11210,11660,11080,14320,14480,14620,14760,13900,15700,16950,19310,19500,19530,15500,13100,11940,13050,13646,14600,14100,14240,14000,14800,16500,15900,15639
1718758,Rio Sono,33000,34320,35350,36410,39320,41680,42930,31770,33060,33720,34060,33040,24000,25200,41555,44200,45600,42500,46600,42800,45600,44590,43400,44900,46500,43600,46600,48400,50590,47132
1717503,Pium,107100,115000,125000,135000,148500,157410,165280,118300,100100,102200,104240,114555,128991,130657,145000,175900,170700,160530,147930,139330,142750,150590,152600,165000,176551,160633,178105,186224,181167,165566
1713304,Miranorte,29480,30660,31580,32530,35130,36530,37260,45200,45550,46200,47730,50800,65000,71000,75100,76500,70200,66800,67100,66900,68100,76850,71500,73800,79850,78600,82945,89000,78360,67446
1700251,Abreulândia,0,0,0,0,13320,14390,15250,28900,29870,30460,30520,28000,31000,33500,33550,37710,42980,38000,41100,40100,43900,46970,46200,46300,49078,49239,57959,59012,60582,62539
1703909,Caseara,22600,23280,23980,24700,23200,22040,20940,48630,49640,50630,51640,45200,36000,42000,45000,46000,50430,49100,51000,47000,44600,42200,51850,53700,56385,41347,38482,35902,35215,32053
1718709,Rio dos Bois,0,0,0,0,5220,5480,5700,14450,14740,15000,15150,12600,14000,14400,14130,13100,12350,11500,15100,14600,13500,11400,11300,11400,11470,11520,11100,11370,11200,12600
1716505,Pedro Afonso,34000,34500,35000,36000,13100,14200,15000,19840,20430,20700,21110,16890,17000,18000,18600,18500,18580,19000,18950,19000,20900,21414,18750,18800,21500,20000,22865,24200,26260,22600
1708254,Tabocão,0,0,0,0,12000,13100,13500,24320,24180,24660,25150,26910,28470,40000,38700,36100,34240,37100,30200,32500,33420,47000,44800,49300,45500,44000,50500,49600,54785,52800
1712405,Lizarda,21000,21840,22490,23160,25010,26510,27300,14200,14750,15190,15490,14100,14000,14100,14500,15300,18600,18500,19200,19400,19750,20325,18100,18000,18850,17300,18400,20400,20900,20850
1707207,Dois Irmãos do Tocantins,63670,65580,66890,68230,66090,66750,68080,108020,109090,111270,113490,114100,119500,131600,134600,126000,130680,125000,120200,119700,133200,138860,133020,137800,140556,143906,151648,161061,160390,156729
1703305,Bom Jesus do Tocantins,0,0,0,0,11000,12000,12700,17500,18020,18380,18750,15500,15600,18320,19900,19800,19930,20100,21000,21500,23220,24300,26200,25500,25200,24600,29750,29100,31300,27640
1704105,Centenário,0,0,0,0,9000,9500,10500,7450,7500,7600,7800,10000,10500,19500,6500,9800,11500,12200,11000,11000,12000,12824,14450,12200,11000,14200,16100,17100,18230,17250
1721257,Tupirama,0,0,0,0,0,0,0,0,4600,4700,4800,4990,5000,5400,6070,5600,5550,5500,5720,5800,5280,5385,4720,4600,4300,3950,4900,6200,9520,11800
1708304,Goianorte,24250,25000,25500,26500,28600,30900,32000,53400,53500,54000,54500,58000,71000,81000,82200,86000,89000,81750,82500,83000,84000,87000,87160,90500,90400,92248,90885,96982,98955,92501
1718881,Santa Maria do Tocantins,0,0,0,0,15000,16200,17000,12700,12800,13000,13500,16000,18000,18000,18200,19100,19300,21200,21500,22500,22100,27165,25500,23600,26290,25450,25350,27800,27500,26743
1716703,Colméia,40500,41000,42000,45500,49200,53100,57500,44870,45000,46000,46500,53400,46000,82000,82000,86000,86400,81000,78000,82500,83000,84000,82880,80000,83600,86300,90063,90772,90928,90806
1701903,Araguacema,28840,29990,31190,32440,21720,22800,23940,51000,53040,54100,55100,56750,66300,66000,70000,69000,69800,63700,66000,65600,70850,73200,72080,75300,79065,61811,67745,64525,62178,59247
1718501,Recursolândia,0,0,0,0,7800,8500,9000,9500,9600,9800,10000,15000,16000,21000,20000,20600,23400,24830,24500,25500,26100,26664,26800,27700,29295,31190,35850,37500,37900,35268
1718402,Presidente Kennedy,43800,45000,48000,50000,22000,24000,25000,35700,35800,36000,37000,31500,36000,21000,33100,33800,39250,32850,32000,36000,39000,37000,37720,38900,42000,42819,38957,37354,42253,43365
1706001,Couto de Magalhães,30200,31000,31500,32700,22800,24600,25600,37640,37700,38000,38500,38500,38000,41000,46500,47000,57500,52600,54500,55500,61000,58000,56850,56800,60000,53100,59613,57013,61808,56396
1711100,Itaporã do Tocantins,54000,56700,58500,60000,66000,70000,75000,66400,66450,66500,68000,72500,103000,84000,82200,93000,97600,91100,85000,89000,91000,90000,97590,93000,97000,96944,100983,99793,105080,96855
1710508,Itacajá,63000,65000,67000,71000,38000,40000,42000,34800,34850,35000,35500,45000,46000,48000,49500,55000,53500,59700,54500,60500,59500,68000,61500,61830,65000,67880,71056,74056,74032,71043
1703602,Brasilândia do Tocantins,0,0,0,0,20500,22000,23000,21250,21300,21500,22000,22000,26000,29000,30000,31000,32000,31500,32500,30000,30000,31000,30100,31000,35000,38316,40755,36278,34600,35294
1721307,Tupiratins,0,0,0,0,12000,13000,14000,12200,12500,13000,13500,6500,7500,7500,8000,9800,10400,11900,11500,11300,11100,14000,14100,13300,14000,16246,17163,16797,16543,15814
1716653,Pequizeiro,39900,41500,42000,43800,47300,51000,52500,71470,71500,72000,72500,63000,89000,70000,76000,85200,88950,82400,80500,81500,94000,90000,81650,80000,85000,97245,100760,105350,103276,99580
1711803,Juarina,0,0,0,0,12500,13500,14500,17000,17500,18000,19000,22500,25000,50000,29000,32500,32600,26400,22000,26500,27000,27000,25570,25600,25800,24708,27102,28107,27318,24188
1710904,Itapiratins,0,0,0,0,23500,25000,26000,21000,26300,26500,26700,30500,34000,39000,39500,40000,46100,41400,39500,42500,41000,47000,45120,46900,49500,52353,54084,50241,52709,52773
1703842,Campos Lindos,0,0,0,0,6150,6500,7000,8000,8500,9000,9100,7560,8000,12000,12058,13000,13500,13600,16500,19000,25000,23500,26300,28000,28364,27170,27415,29283,29207,26414
1705508,Colinas do Tocantins,68400,70500,73000,78000,85500,90000,92000,62750,63000,63500,65000,103000,116000,117000,120000,131000,131500,116000,100000,108500,116000,124000,119000,117500,130000,137600,128935,125667,117721,103742
1703206,Bernardo Sayão,31000,32400,34000,36000,39500,42000,43000,91900,92950,93000,93500,105000,152000,122000,112000,124000,141000,122820,104500,108500,106000,109000,103270,96000,93000,102000,106113,106944,103715,91489
1703057,Bandeirantes do Tocantins,0,0,0,0,0,0,0,0,106300,106500,107000,122000,130000,133000,133500,148000,151000,168900,137000,131500,135000,141000,150670,146300,152000,159000,147828,150453,151306,143086
1702307,Arapoema,190000,196600,200000,215000,184000,200000,205000,208000,101300,101500,102000,117000,138000,132000,116000,137000,158000,135500,122000,127000,126000,157000,142320,142000,150000,153200,151842,141385,132778,135588
1709005,Goiatins,44000,45000,46000,47000,45080,46500,48000,22000,22500,22700,22800,26688,27000,35000,32417,32500,34000,34500,34700,56000,59000,40200,39450,39500,42240,42470,45626,49079,52855,53385
1715705,Palmeirante,0,0,0,0,32700,33800,35000,35200,35500,36000,36500,22000,35000,36000,40000,42000,42300,42400,34000,40200,43000,44000,45890,45000,48000,51440,52069,55489,61900,57298
1714880,Nova Olinda,22700,23500,24600,26000,28600,30000,32000,36900,37000,37500,38000,52000,66000,81000,82500,82300,82500,75200,65500,64500,74000,72000,74800,72500,75000,77962,81055,82981,82839,71480
1703073,Barra do Ouro,0,0,0,0,0,0,0,0,13500,14000,14200,15843,15900,17000,17026,18000,18100,18500,21000,21500,22500,23500,21200,21100,20972,20390,24477,25593,25789,28062
1716307,Pau d'Arco,0,0,0,0,51500,55000,56000,70500,71000,71500,72000,61000,69000,67000,71500,71300,71500,72200,72500,71500,80000,93000,77930,85000,86000,86044,90482,87878,96199,85700
1707702,Filadélfia,79000,81000,83000,85000,60000,61700,63500,47500,48000,48500,48600,48441,50000,50500,78269,79000,81000,81400,72300,70000,75000,75650,77350,83800,85331,83720,93498,94605,100399,99245
1702109,Araguaína,470000,480000,500000,515000,202000,212000,216000,158600,160000,161500,230000,210700,212400,214000,259580,271000,271500,272000,230000,225000,226000,237300,217400,222700,223985,226770,243744,232522,237591,242035
1703883,Carmolândia,0,0,0,0,90000,94680,97500,19000,20000,20500,35000,33800,34500,35000,45401,48000,52500,52600,51800,49000,40300,56200,44980,43750,40587,46770,37848,36092,36094,36150
1703008,Babaçulândia,30000,30780,31500,32000,35200,36300,37500,37700,37900,38200,40000,37822,38200,38600,56440,58000,58200,58300,52200,50000,52000,49200,49000,47200,48941,48150,52052,51185,52420,52831
1718865,Santa Fé do Araguaia,0,0,0,0,120000,124000,127200,52000,53000,54000,109000,126840,128500,130000,148168,153000,153500,154000,138500,138600,132000,141770,129130,121500,114025,124290,114025,112767,120373,114602
1713957,Muricilândia,0,0,0,0,112000,115500,117900,47500,49000,49500,52000,68600,70000,70700,79881,83500,86000,86100,77400,77500,70000,80400,61100,64800,65435,62710,75497,65300,62128,67107
1701309,Aragominas,0,0,0,0,96000,100000,101800,61400,62000,62600,63000,60000,60600,61400,90008,92000,85000,85500,70000,72500,73100,87100,81250,75000,82214,85500,89358,84758,90216,91568
1722081,Wanderlândia,22800,23600,24300,24800,27000,28300,29200,28200,29000,29400,30500,35200,35500,37000,34974,38500,38600,38700,27200,26000,27200,27000,26300,25200,28139,27960,25359,27409,29321,27708
1706506,Darcinópolis,0,0,0,0,15000,16215,17430,11000,11200,11370,17000,18700,19000,25000,26574,26700,24000,24100,19600,19800,18000,19236,18910,17896,21373,21869,20916,23295,22688,19817
1702158,Araguanã,0,0,0,0,80000,83000,85000,45000,47000,47500,85000,78000,800,80000,64381,84000,77000,78000,75000,76000,91000,97200,96400,94500,99926,98010,101691,89036,74135,81268
1713809,Palmeiras do Tocantins,0,0,0,0,14000,15140,16030,20950,21155,21170,21250,19840,26213,28000,31890,30774,26793,31105,25231,26047,29613,28265,24310,26892,27121,28092,34141,31479,32039,33237
1717206,Piraquê,0,0,0,0,58000,60000,62000,36000,37000,37400,55000,82500,83200,84000,92545,92800,93000,93200,78700,86000,87000,97130,91350,96600,93296,96870,83290,98564,94564,90530
1700301,Aguiarnópolis,0,0,0,0,0,0,0,0,8810,8942,8950,8900,12500,13200,13300,11384,12578,10954,10075,9588,10530,11452,8410,8723,8644,8917,10285,12167,11385,9967
1720002,Santa Terezinha do Tocantins,0,0,0,0,0,0,0,0,9300,9360,9100,9170,9846,14100,15500,14092,12440,10299,10665,11131,16340,14130,11090,12140,10781,10371,11861,20306,10610,10072
1718550,Riachinho,0,0,0,0,38000,40100,42430,25800,26200,26500,26600,26700,27000,27400,33264,37000,30000,30200,26000,27900,25500,26231,24780,26890,31588,32372,33599,35718,39923,36569
1722107,Xambioá,115000,118000,121000,124000,76000,80000,82600,57000,60000,60900,81000,82000,82500,83500,92556,97000,97500,97600,74500,73000,86000,83360,85200,93400,96112,98640,92170,91179,99126,93709
1701051,Angico,0,0,0,0,13000,13850,14600,8800,9000,9140,12800,13300,13550,14000,15581,17500,16000,16500,14000,14800,16000,16633,18120,19548,16898,17655,18772,15491,15646,14812
1714302,Nazaré,25000,23000,19000,20000,8200,8750,9270,22400,12985,13020,14010,16800,19307,21660,22950,22373,23074,20591,18861,19462,18646,21536,19590,18634,20332,20319,22640,18438,20546,20884
1712454,Luzinópolis,0,0,0,0,0,0,0,0,5510,7282,7400,8760,9092,10100,10780,9982,9159,9318,6617,8264,7658,10044,8510,9489,8703,14419,10012,8127,8962,9232
1721208,Tocantinópolis,52000,55000,58000,60000,16000,17310,18330,30980,16830,16950,18300,21607,24847,25900,26000,25924,25686,22445,21319,20737,22529,24772,21100,22546,20083,20577,20733,19190,20233,22055
1703826,Cachoeirinha,0,0,0,0,13000,13850,14750,3745,3470,1806,1900,6800,8415,9200,9300,8114,8224,7338,6098,5738,6085,6900,7540,7689,10350,7964,6757,8516,7357,8142
1701002,Ananás,48000,50000,60000,65000,32000,35000,37800,72000,73500,74000,98000,115350,120000,121200,108825,90000,85000,85900,71000,82000,80000,84593,84250,89046,82690,81285,93005,88870,90106,88681
1712801,Maurilândia do Tocantins,0,0,0,0,6200,6600,6990,8290,8360,8395,8420,9310,11692,12500,13950,16003,16897,16079,17525,17429,18453,19006,16630,18745,19424,17930,20963,11325,21858,22951
1720101,São Bento do Tocantins,0,0,0,0,25000,26380,27700,10150,10260,10295,10450,14694,15570,18200,25270,25502,23714,19735,23661,19479,17382,18773,22590,21562,23263,24022,25278,27901,29377,28390
1710706,Itaguatins,20000,18000,18000,19000,11000,11720,12480,18550,18735,18805,19573,28941,30288,42200,48790,49079,50699,47518,37428,37556,40297,42687,46830,46640,49700,49618,55468,54671,57550,57548
1702901,Axixá do Tocantins,22000,20000,21000,22000,24000,25510,27000,16486,16645,16660,16750,16200,30087,32000,32100,33070,37170,27154,25330,29713,31981,30127,32130,31370,31400,31029,31138,32580,33640,34233
1720804,Sítio Novo do Tocantins,18000,19000,15000,16000,17000,18100,19000,23905,24130,24180,22050,26548,31674,32600,33000,31361,31119,30368,28947,29074,29972,33231,31530,32950,33000,30786,33981,33761,35347,37675
1720200,São Miguel do Tocantins,0,0,0,0,9500,10140,10650,14950,15080,15100,13850,11814,15637,16570,20500,24844,21489,19359,15251,16050,15755,17161,16520,17880,17920,17041,18346,17226,18352,19294
1702554,Augustinópolis,18000,20000,21000,23000,25000,28000,30970,32880,33210,33405,33905,33895,38849,48200,50100,46651,46936,46295,42349,45862,45326,49709,53180,54600,54650,50776,51109,52785,59342,58631
1718303,Praia Norte,10000,11000,7000,7500,8000,8500,9000,3100,3135,3150,3280,3550,5482,5950,7100,8412,12009,11753,10481,12552,13891,14480,14590,16380,16500,14695,17072,18195,21183,22294
1702208,Araguatins,66000,68000,75000,80000,65000,73000,80500,62050,62650,63710,65620,91675,88543,93570,94000,90307,101386,83924,76054,86786,93875,99967,107800,110960,117540,114584,129317,133646,147782,150615
1703800,Buriti do Tocantins,12000,13000,15000,18000,13000,13900,14860,11104,11215,11220,11300,10200,30366,28100,34980,41070,50250,43099,37178,14168,18952,20075,23180,24100,24200,22090,22469,25939,27397,29621
1703891,Carrasco Bonito,0,0,0,0,6000,6400,6730,11300,11415,11420,11530,11600,9639,10600,12200,11357,10901,10301,8116,9085,12077,13475,15200,15700,15720,15911,17909,19020,20258,20565
1718808,Sampaio,12000,13000,10000,12000,10000,10650,11260,4400,4450,4470,4510,4750,7873,7800,8000,10940,10101,10314,9129,10183,8379,9295,9630,8200,8900,8895,10766,10365,9863,10391
1707405,Esperantina,0,0,0,0,3800,4065,4370,1250,1275,1340,1445,12000,13252,18300,23440,27445,28722,25920,23108,21924,24571,25692,24720,24800,24950,25679,26679,25932,26177,25051
1720309,São Sebastião do Tocantins,8000,7000,7500,8000,6000,6400,6780,4280,4370,4405,4600,4750,5707,5200,7270,7911,7706,6943,6336,15922,17219,17047,18970,19450,19500,23207,23380,23775,25042,26491
1712157,Lavandeira,0,0,0,0,0,0,0,0,14000,14400,15000,11000,11050,13200,14500,16900,20450,21310,19263,16000,16700,22350,21990,21953,18330,15419,21323,21468,21054,19858
1702703,Aurora do Tocantins,32000,32800,32500,33000,34000,33000,30000,39850,27000,27500,28000,29100,29400,33700,40300,42900,48250,46411,44774,42000,43000,48850,49140,48010,46776,45701,44124,48047,46384,44602
1717800,Ponte Alta do Bom Jesus,26800,26500,26000,25800,13800,14300,13800,18900,19200,19800,21000,22000,20000,21300,24000,29500,26900,26400,23650,21000,21700,25550,27730,31989,34484,32500,28482,29787,32897,32481
