cod_ibge,nome,bcg_n_2013,bcg_c_2013,dtp_n_2013,dtp_c_2013,pol_n_2013,pol_c_2013,feb_n_2013,feb_c_2013,bcg_n_2014,bcg_c_2014,bcg_n_2015,bcg_c_2015,dtp_n_2014,dtp_c_2014,dtp_n_2015,dtp_c_2015,pol_n_2014,pol_c_2014,pol_n_2015,pol_c_2015,feb_n_2014,feb_c_2014,feb_n_2015,feb_c_2015
1716505,Pedro Afonso,224,89.96,234,93.98,238,95.58,199,79.92,258,101.57,277,102.59,238,93.7,241,89.26,233,91.73,228,84.44,207,81.5,187,69.26
1708254,Tabocão,43,82.69,41,78.85,43,82.69,35,67.31,47,102.17,64,152.38,43,93.48,64,152.38,43,93.48,61,145.24,35,76.09,50,119.05
1712405,Lizarda,14,30.43,48,104.35,40,86.96,47,102.17,37,94.87,13,32.5,43,110.26,50,125,54,138.46,44,110,40,102.56,41,102.5
1707207,Dois Irmãos do Tocantins,77,102.67,78,104,92,122.67,73,97.33,60,101.69,38,69.09,66,111.86,72,130.91,65,110.17,75,136.36,75,127.12,63,114.55
1703305,Bom Jesus do Tocantins,81,105.19,79,102.6,80,103.9,67,87.01,76,91.57,89,114.1,68,81.93,107,137.18,66,79.52,105,134.62,45,54.22,93,119.23
1704105,Centenário,27,84.38,33,103.13,33,103.13,35,109.38,25,108.7,27,135,26,113.04,27,135,24,104.35,29,145,27,117.39,27,135
1721257,Tupirama,31,119.23,19,73.08,18,69.23,21,80.77,34,178.95,34,141.67,48,252.63,23,95.83,48,252.63,27,112.5,36,189.47,26,108.33
1708304,Goianorte,46,92,52,104,51,102,44,88,45,90,73,187.18,61,122,68,174.36,51,102,66,169.23,55,110,28,71.79
1718881,Santa Maria do Tocantins,34,80.95,59,140.48,56,133.33,48,114.29,34,60.71,60,142.86,31,55.36,65,154.76,30,53.57,55,130.95,37,66.07,40,95.24
1716703,Colméia,136,121.43,130,116.07,130,116.07,128,114.29,129,104.88,117,86.03,123,100,118,86.76,125,101.63,118,86.76,112,91.06,90,66.18
1701903,Araguacema,77,69.37,109,98.2,104,93.69,76,68.47,66,64.08,103,101.98,66,64.08,84,83.17,58,56.31,72,71.29,77,74.76,64,63.37
1718501,Recursolândia,88,110,75,93.75,77,96.25,73,91.25,68,86.08,60,81.08,78,98.73,50,67.57,77,97.47,52,70.27,79,100,41,55.41
1718402,Presidente Kennedy,41,85.42,44,91.67,45,93.75,49,102.08,43,91.49,38,82.61,48,102.13,48,104.35,48,102.13,47,102.17,47,100,46,100
1706001,Couto de Magalhães,36,55.38,89,136.92,77,118.46,71,109.23,102,125.93,68,82.93,116,143.21,94,114.63,108,133.33,85,103.66,82,101.23,85,103.66
1711100,Itaporã do Tocantins,52,108.33,49,102.08,49,102.08,51,106.25,44,133.33,36,92.31,40,121.21,51,130.77,39,118.18,49,125.64,36,109.09,45,115.38
1710508,Itacajá,147,89.63,112,68.29,119,72.56,113,68.9,165,128.91,146,103.55,184,143.75,154,109.22,176,137.5,149,105.67,152,118.75,118,83.69
1703602,Brasilândia do Tocantins,23,92,37,148,37,148,34,136,36,94.74,33,157.14,41,107.89,25,119.05,40,105.26,26,123.81,47,123.68,20,95.24
1721307,Tupiratins,22,70.97,31,100,30,96.77,32,103.23,20,58.82,19,82.61,27,79.41,24,104.35,28,82.35,23,100,22,64.71,21,91.3
1716653,Pequizeiro,70,100,80,114.29,79,112.86,86,122.86,87,126.09,47,92.16,57,82.61,67,131.37,57,82.61,67,131.37,51,73.91,70,137.25
1711803,Juarina,38,115.15,34,103.03,38,115.15,31,93.94,28,80,41,102.5,46,131.43,33,82.5,27,77.14,24,60,34,97.14,32,80
1710904,Itapiratins,22,53.66,65,158.54,68,165.85,55,134.15,41,93.18,56,193.1,45,102.27,51,175.86,46,104.55,50,172.41,29,65.91,43,148.28
1703842,Campos Lindos,181,117.53,204,132.47,221,143.51,204,132.47,200,122.7,165,113.01,150,92.02,209,143.15,117,71.78,197,134.93,149,91.41,179,122.6
1705508,Colinas do Tocantins,546,85.71,629,98.74,613,96.23,511,80.22,638,117.71,551,102.23,614,113.28,561,104.08,620,114.39,554,102.78,553,102.03,486,90.17
1703206,Bernardo Sayão,53,86.89,64,104.92,64,104.92,66,108.2,65,108.33,61,100,66,110,80,131.15,65,108.33,79,129.51,56,93.33,59,96.72
1703057,Bandeirantes do Tocantins,52,123.81,59,140.48,57,135.71,46,109.52,43,93.48,43,70.49,39,84.78,43,70.49,47,102.17,38,62.3,45,97.83,34,55.74
1702307,Arapoema,108,106.93,102,100.99,109,107.92,98,97.03,80,106.67,121,115.24,76,101.33,100,95.24,79,105.33,98,93.33,75,100,90,85.71
1709005,Goiatins,204,72.34,249,88.3,242,85.82,236,83.69,232,87.55,254,97.69,145,54.72,234,90,143,53.96,231,88.85,124,46.79,143,55
1715705,Palmeirante,61,81.33,52,69.33,62,82.67,66,88,62,91.18,49,92.45,56,82.35,48,90.57,51,75,47,88.68,47,69.12,34,64.15
1714880,Nova Olinda,181,75.1,189,78.42,188,78.01,237,98.34,235,127.03,143,87.73,205,110.81,197,120.86,195,105.41,177,108.59,204,110.27,129,79.14
1703073,Barra do Ouro,68,100,62,91.18,49,72.06,59,86.76,76,128.81,86,113.16,48,81.36,80,105.26,44,74.58,76,100,34,57.63,43,56.58
1716307,Pau d'Arco,63,101.61,91,146.77,73,117.74,74,119.35,69,93.24,57,107.55,78,105.41,69,130.19,78,105.41,74,139.62,66,89.19,71,133.96
1707702,Filadélfia,104,100.97,117,113.59,126,122.33,121,117.48,97,71.85,149,123.14,82,60.74,115,95.04,80,59.26,116,95.87,76,56.3,66,54.55
1702109,Araguaína,3564,119.88,2880,96.87,2867,96.43,2999,100.87,4075,130.53,3503,114.25,2752,88.15,2813,91.75,2746,87.96,2690,87.74,2388,76.49,2289,74.66
1703883,Carmolândia,43,102.38,36,85.71,36,85.71,31,73.81,45,140.63,34,72.34,47,146.88,39,82.98,47,146.88,38,80.85,34,106.25,44,93.62
1703008,Babaçulândia,47,35.34,122,91.73,123,92.48,113,84.96,97,66.9,94,85.45,98,67.59,94,85.45,96,66.21,88,80,85,58.62,79,71.82
1718865,Santa Fé do Araguaia,143,105.15,143,105.15,143,105.15,160,117.65,119,115.53,126,91.3,107,103.88,129,93.48,107,103.88,127,92.03,107,103.88,100,72.46
1713957,Muricilândia,60,101.69,60,101.69,61,103.39,73,123.73,60,98.36,67,136.73,31,50.82,52,106.12,31,50.82,51,104.08,26,42.62,38,77.55
1701309,Aragominas,69,87.34,67,84.81,70,88.61,71,89.87,80,89.89,77,111.59,58,65.17,78,113.04,58,65.17,78,113.04,54,60.67,70,101.45
1722081,Wanderlândia,129,87.16,103,69.59,111,75,98,66.22,120,89.55,134,100,114,85.07,124,92.54,112,83.58,131,97.76,108,80.6,106,79.1
1706506,Darcinópolis,93,94.9,90,91.84,93,94.9,110,112.24,96,103.23,107,110.31,89,95.7,96,98.97,89,95.7,95,97.94,76,81.72,83,85.57
1702158,Araguanã,87,88.78,87,88.78,87,88.78,67,68.37,58,63.04,118,111.32,60,65.22,85,80.19,56,60.87,84,79.25,52,56.52,63,59.43
1713809,Palmeiras do Tocantins,72,90,79,98.75,80,100,70,87.5,36,39.13,89,123.61,71,77.17,69,95.83,68,73.91,61,84.72,65,70.65,56,77.78
1717206,Piraquê,24,70.59,37,108.82,38,111.76,37,108.82,38,95,38,90.48,27,67.5,48,114.29,29,72.5,42,100,24,60,28,66.67
1700301,Aguiarnópolis,79,94.05,87,103.57,89,105.95,89,105.95,40,47.62,91,108.33,71,84.52,70,83.33,75,89.29,70,83.33,64,76.19,80,95.24
1720002,Santa Terezinha do Tocantins,30,83.33,47,130.56,46,127.78,47,130.56,37,90.24,41,124.24,44,107.32,39,118.18,42,102.44,33,100,26,63.41,38,115.15
1718550,Riachinho,54,88.52,75,122.95,77,126.23,70,114.75,55,79.71,73,117.74,43,62.32,70,112.9,42,60.87,64,103.23,44,63.77,44,70.97
1722107,Xambioá,218,84.17,213,82.24,213,82.24,239,92.28,201,82.04,236,100.43,196,80,204,86.81,198,80.82,199,84.68,163,66.53,171,72.77
1701051,Angico,30,57.69,41,78.85,49,94.23,46,88.46,43,91.49,52,115.56,35,74.47,46,102.22,36,76.6,47,104.44,50,106.38,42,93.33
1714302,Nazaré,50,65.79,73,96.05,74,97.37,67,88.16,47,73.44,69,118.97,55,85.94,59,101.72,34,53.13,57,98.28,40,62.5,51,87.93
1712454,Luzinópolis,37,74,53,106,47,94,36,72,44,115.79,35,79.55,47,123.68,38,86.36,44,115.79,40,90.91,46,121.05,35,79.55
1721208,Tocantinópolis,445,92.32,383,79.46,376,78.01,338,70.12,481,114.52,480,104.8,276,65.71,473,103.28,263,62.62,446,97.38,214,50.95,348,75.98
1703826,Cachoeirinha,27,93.1,29,100,25,86.21,18,62.07,28,103.7,23,79.31,37,137.04,31,106.9,39,144.44,29,100,27,100,34,117.24
1701002,Ananás,152,87.86,204,117.92,191,110.4,192,110.98,147,93.63,122,73.49,92,58.6,146,87.95,96,61.15,128,77.11,119,75.8,121,72.89
1712801,Maurilândia do Tocantins,35,89.74,67,171.79,67,171.79,59,151.28,35,70,30,78.95,43,86,49,128.95,41,82,42,110.53,35,70,37,97.37
1720101,São Bento do Tocantins,64,85.33,91,121.33,101,134.67,96,128,104,126.83,93,103.33,102,124.39,77,85.56,103,125.61,72,80,87,106.1,48,53.33
1710706,Itaguatins,78,95.12,82,100,78,95.12,80,97.56,94,109.3,84,85.71,62,72.09,71,72.45,54,62.79,67,68.37,57,66.28,68,69.39
1702901,Axixá do Tocantins,152,79.17,168,87.5,136,70.83,159,82.81,99,46.48,183,90.59,119,55.87,179,88.61,114,53.52,184,91.09,96,45.07,147,72.77
1720804,Sítio Novo do Tocantins,104,72.22,185,128.47,183,127.08,159,110.42,134,100.75,166,114.48,182,136.84,167,115.17,182,136.84,156,107.59,165,124.06,153,105.52
1720200,São Miguel do Tocantins,142,95.3,206,138.26,203,136.24,189,126.85,139,103.73,199,108.15,176,131.34,180,97.83,149,111.19,167,90.76,134,100,131,71.2
1702554,Augustinópolis,330,62.26,300,56.6,280,52.83,251,47.36,339,94.96,376,109.62,269,75.35,252,73.47,268,75.07,220,64.14,223,62.46,157,45.77
1718303,Praia Norte,92,76.67,126,105,77,64.17,91,75.83,86,60.56,95,84.07,96,67.61,107,94.69,91,64.08,105,92.92,51,35.92,72,63.72
1702208,Araguatins,554,93.58,541,91.39,514,86.82,524,88.51,656,117.56,736,144.03,422,75.63,485,94.91,401,71.86,394,77.1,346,62.01,369,72.21
1703800,Buriti do Tocantins,132,75.43,146,83.43,135,77.14,129,73.71,161,96.99,115,78.23,115,69.28,120,81.63,114,68.67,99,67.35,110,66.27,120,81.63
1703891,Carrasco Bonito,73,98.65,69,93.24,64,86.49,64,86.49,22,28.95,51,68.92,29,38.16,65,87.84,25,32.89,66,89.19,30,39.47,61,82.43
1718808,Sampaio,50,71.43,58,82.86,64,91.43,56,80,87,106.1,92,129.58,73,89.02,71,100,63,76.83,61,85.92,54,65.85,57,80.28
1707405,Esperantina,146,96.69,142,94.04,146,96.69,124,82.12,136,77.27,149,101.36,136,77.27,119,80.95,135,76.7,122,82.99,122,69.32,79,53.74
1720309,São Sebastião do Tocantins,77,92.77,63,75.9,69,83.13,92,110.84,30,42.25,60,72.29,62,87.32,51,61.45,62,87.32,49,59.04,43,60.56,49,59.04
1712157,Lavandeira,25,89.29,45,160.71,45,160.71,40,142.86,24,96,23,104.55,31,124,28,127.27,35,140,27,122.73,36,144,22,100
1702703,Aurora do Tocantins,37,75.51,42,85.71,41,83.67,36,73.47,26,60.47,21,61.76,27,62.79,45,132.35,27,62.79,46,135.29,23,53.49,35,102.94
1717800,Ponte Alta do Bom Jesus,35,57.38,75,122.95,80,131.15,56,91.8,49,74.24,55,96.49,47,71.21,53,92.98,44,66.67,50,87.72,44,66.67,38,66.67
1715259,Novo Jardim,13,46.43,29,103.57,37,132.14,33,117.86,36,116.13,34,97.14,36,116.13,30,85.71,60,193.55,27,77.14,34,109.68,31,88.57
1707009,Dianópolis,313,91.79,326,95.6,346,101.47,269,78.89,274,91.33,397,116.08,293,97.67,327,95.61,307,102.33,324,94.74,320,106.67,268,78.36
1718659,Rio da Conceição,32,103.23,30,96.77,31,100,30,96.77,34,91.89,15,42.86,52,140.54,46,131.43,53,143.24,44,125.71,53,143.24,29,82.86
1712702,Mateiros,34,68,52,104,56,112,51,102,47,117.5,10,22.22,48,120,45,100,46,115,46,102.22,51,127.5,36,80
1709302,Guaraí,429,98.62,392,90.11,427,98.16,402,92.41,388,104.86,459,119.53,349,94.32,397,103.39,353,95.41,404,105.21,356,96.22,330,85.94
